Gene Locus,TA sites,reads,,,,
SAOUHSC_00922,42,1370,,,,
SAOUHSC_00923,91,1404,,,,
SAOUHSC_00924,94,1717,,,,
SAOUHSC_00925,74,1366,,,,
SAOUHSC_00926,82,568,,,,
SAOUHSC_00927,134,2040,,,,
SAOUHSC_00928,156,2617,,,,
SAOUHSC_00929,86,1137,,,,
SAOUHSC_00930,83,2587,,,,
SAOUHSC_00931,111,1938,,,,
SAOUHSC_00932,90,1601,,,,
SAOUHSC_00935,56,929,,,,
SAOUHSC_00936,94,1797,,,,
SAOUHSC_00937,171,5038,,,,
SAOUHSC_00938,75,380,,,,
SAOUHSC_00939,22,278,,,,
SAOUHSC_00940,54,857,,,,
SAOUHSC_00941,35,948,,,,
SAOUHSC_00942,49,607,,,,
SAOUHSC_00944,87,1829,,,,
SAOUHSC_00945,127,2402,,,,
SAOUHSC_00946,170,1894,,,,
SAOUHSC_00948,116,1629,,,,
SAOUHSC_00949,146,2550,,,,
SAOUHSC_00950,75,1137,,,,
SAOUHSC_00951,38,418,,,,
SAOUHSC_00952-ltaA,125,995,,,,
SAOUHSC_00955,19,289,,,,
SAOUHSC_00956-prfC,110,1178,,,,
SAOUHSC_00958,180,2990,,,,
SAOUHSC_00959,147,1440,,,,
SAOUHSC_00960,130,2651,,,,
SAOUHSC_00961,44,575,,,,
SAOUHSC_00963,80,925,,,,
SAOUHSC_00964,13,6,,,,
SAOUHSC_00965-CAAX,78,2593,,,,
SAOUHSC_00966,15,402,,,,
SAOUHSC_00967,10,2,,,,
SAOUHSC_00968,209,4597,,,,
SAOUHSC_00969,38,916,,,,
SAOUHSC_00970,62,1450,,,,
SAOUHSC_00971,33,832,,,,
SAOUHSC_00973,153,3874,,,,
SAOUHSC_00975,36,1481,,,,
SAOUHSC_00976,67,1797,,,,
SAOUHSC_00977,13,338,,,,
SAOUHSC_00978,31,1795,,,,
SAOUHSC_00979,56,1742,,,,
SAOUHSC_00984,71,170,,,,
SAOUHSC_00986,29,220,,,,
SAOUHSC_00987,109,5066,,,,
SAOUHSC_00988,77,1082,,,,
SAOUHSC_00989,106,1838,,,,
SAOUHSC_00991,126,8775,,,,
SAOUHSC_00992,34,539,,,,
SAOUHSC_00993,7,58,,,,
SAOUHSC_00994,351,6861,,,,
SAOUHSC_00995,33,1699,,,,
SAOUHSC_00996,43,388,,,,
SAOUHSC_00997-lcpB,102,743,,,,
SAOUHSC_00998,137,3253,,,,
SAOUHSC_01003,6,1,,,,
SAOUHSC_01005,32,691,,,,
SAOUHSC_01008,27,43,,,,
SAOUHSC_01010,64,274,,,,
SAOUHSC_01011,27,109,,,,
SAOUHSC_01012,60,405,,,,
SAOUHSC_01013,176,731,,,,
SAOUHSC_01014,119,472,,,,
SAOUHSC_01016,55,191,,,,
SAOUHSC_01017-purH,126,366,,,,
SAOUHSC_01018,95,545,,,,
SAOUHSC_01019,91,2531,,,,
SAOUHSC_01021,103,2879,,,,
SAOUHSC_01022,55,1143,,,,
SAOUHSC_01023,11,154,,,,
SAOUHSC_01024,10,103,,,,
SAOUHSC_01025-1025,136,5173,,,,
SAOUHSC_01026,102,1133,,,,
SAOUHSC_01027,38,299,,,,
SAOUHSC_01030,15,67,,,,
SAOUHSC_01031,124,1727,,,,
SAOUHSC_01032,97,1968,,,,
SAOUHSC_01034,51,375,,,,
SAOUHSC_01039,58,1165,,,,
SAOUHSC_01044,23,239,,,,
SAOUHSC_01045,50,2509,,,,
SAOUHSC_01046,97,1525,,,,
SAOUHSC_01047,97,1349,,,,
SAOUHSC_01048,88,710,,,,
SAOUHSC_01049,98,1257,,,,
SAOUHSC_01050-1050,93,2118,,,,
SAOUHSC_01051,42,998,,,,
SAOUHSC_01053,137,1656,,,,
SAOUHSC_01054,40,338,,,,
SAOUHSC_01055,62,526,,,,
SAOUHSC_01055a,18,866,,,,
SAOUHSC_01058,143,237,,,,
SAOUHSC_01060,12,82,,,,
SAOUHSC_01061,43,1525,,,,
SAOUHSC_01062,18,296,,,,
SAOUHSC_01064,288,6828,,,,
SAOUHSC_01068,21,435,,,,
SAOUHSC_01069,86,2421,,,,
SAOUHSC_01070,31,602,,,,
SAOUHSC_01071,71,887,,,,
SAOUHSC_01072,26,256,,,,
SAOUHSC_01073,36,202,,,,
SAOUHSC_01074,44,86,,,,
SAOUHSC_01076,103,434,,,,
SAOUHSC_01079,142,976,,,,
SAOUHSC_01082,61,2496,,,,
SAOUHSC_01084,90,2093,,,,
SAOUHSC_01086,83,2292,,,,
SAOUHSC_01087,16,281,,,,
SAOUHSC_01088,69,1349,,,,
SAOUHSC_01089,28,278,,,,
SAOUHSC_01090,9,110,,,,
SAOUHSC_01091,58,769,,,,
SAOUHSC_01095,72,583,,,,
SAOUHSC_01096,24,563,,,,
SAOUHSC_01097,49,860,,,,
SAOUHSC_01098,151,2024,,,,
SAOUHSC_01101,11,201,,,,
SAOUHSC_01102-uvrC,149,2165,,,,
SAOUHSC_01103,57,484,,,,
SAOUHSC_01104-sdhA,132,1061,,,,
SAOUHSC_01105-sdhB,57,224,,,,
SAOUHSC_01107,46,564,,,,
SAOUHSC_01108,41,977,,,,
SAOUHSC_01109,17,174,,,,
SAOUHSC_01110,26,137,,,,
SAOUHSC_01111,9,96,,,,
SAOUHSC_01112,32,269,,,,
SAOUHSC_01113,57,1050,,,,
SAOUHSC_01114,42,509,,,,
SAOUHSC_01115,38,1205,,,,
SAOUHSC_01118,7,91,,,,
SAOUHSC_01119,15,250,,,,
SAOUHSC_01120,18,75,,,,
SAOUHSC_01121,89,901,,,,
SAOUHSC_01123,18,247,,,,
SAOUHSC_01124,80,1098,,,,
SAOUHSC_01125,75,924,,,,
SAOUHSC_01127,67,766,,,,
SAOUHSC_01128,74,801,,,,
SAOUHSC_01129,71,1711,,,,
SAOUHSC_01130,138,1686,,,,
SAOUHSC_01131,26,233,,,,
SAOUHSC_01133,96,1232,,,,
SAOUHSC_01134,15,268,,,,
SAOUHSC_01135,13,109,,,,
SAOUHSC_01136,11,89,,,,
SAOUHSC_01137,57,1367,,,,
SAOUHSC_01138,33,1130,,,,
SAOUHSC_01139,19,182,,,,
SAOUHSC_01141,95,2045,,,,
SAOUHSC_01152,62,1411,,,,
SAOUHSC_01153,48,196,,,,
SAOUHSC_01154-sepF,41,106,,,,
SAOUHSC_01155,32,669,,,,
SAOUHSC_01156,72,1190,,,,
SAOUHSC_01160,79,779,,,,
SAOUHSC_01164,48,632,,,,
SAOUHSC_01165,125,625,,,,
SAOUHSC_01173,22,486,,,,
SAOUHSC_01174,34,126,,,,
SAOUHSC_01175,145,1239,,,,
SAOUHSC_01177-rpoZ,16,65,,,,
SAOUHSC_01180,74,1544,,,,
SAOUHSC_01181,29,178,,,,
SAOUHSC_01182,38,54,,,,
SAOUHSC_01184,109,1331,,,,
SAOUHSC_01185,74,565,,,,
SAOUHSC_01186,66,396,,,,
SAOUHSC_01187,165,2476,,,,
SAOUHSC_01191-rpmB,17,8,,,,
SAOUHSC_01192,40,1383,,,,
SAOUHSC_01193,122,1462,,,,
SAOUHSC_01196,44,210,,,,
SAOUHSC_01213,273,2583,,,,
SAOUHSC_01215-rnhB,55,354,,,,
SAOUHSC_01220,132,2549,,,,
SAOUHSC_01221,82,1432,,,,
SAOUHSC_01223-gid,106,1806,,,,
SAOUHSC_01225,37,195,,,,
SAOUHSC_01248,82,1460,,,,
SAOUHSC_01253,184,1905,,,,
SAOUHSC_01254,60,655,,,,
SAOUHSC_01255,115,1289,,,,
SAOUHSC_01256,110,557,,,,
SAOUHSC_01257,60,238,,,,
SAOUHSC_01258,69,1209,,,,
SAOUHSC_01261,107,1434,,,,
SAOUHSC_01264,20,377,,,,
SAOUHSC_01268,28,202,,,,
SAOUHSC_01269,139,2601,,,,
SAOUHSC_01270,26,257,,,,
SAOUHSC_01271,55,1288,,,,
SAOUHSC_01272,223,3414,,,,
SAOUHSC_01273-mutL,173,5151,,,,
SAOUHSC_01274,57,1311,,,,
SAOUHSC_01274-glpK,60,1459,,,,
SAOUHSC_01275,97,1248,,,,
SAOUHSC_01278,142,533,,,,
SAOUHSC_01279,93,2661,,,,
SAOUHSC_01280-miaA,79,676,,,,
SAOUHSC_01281,15,285,,,,
SAOUHSC_01282,37,408,,,,
SAOUHSC_01283,104,2269,,,,
SAOUHSC_01284,99,1151,,,,
SAOUHSC_01288,23,110,,,,
SAOUHSC_01290,26,219,,,,
SAOUHSC_01291,14,208,,,,
SAOUHSC_01292,18,172,,,,
SAOUHSC_01293,10,20,,,,
SAOUHSC_01294,13,20,,,,
SAOUHSC_01295,32,1109,,,,
SAOUHSC_01296,56,575,,,,
SAOUHSC_01297,33,819,,,,
SAOUHSC_01298,10,124,,,,
SAOUHSC_01299,8,803,,,,
SAOUHSC_01300,34,373,,,,
SAOUHSC_01301,10,90,,,,
SAOUHSC_01303,49,1805,,,,
SAOUHSC_01304,17,113,,,,
SAOUHSC_01305,42,664,,,,
SAOUHSC_01306,27,649,,,,
SAOUHSC_01307,86,2127,,,,
SAOUHSC_01310,130,2447,,,,
SAOUHSC_01311,85,1855,,,,
SAOUHSC_01312,92,1451,,,,
SAOUHSC_01313,126,4729,,,,
SAOUHSC_01314,52,1666,,,,
SAOUHSC_01315,22,430,,,,
SAOUHSC_01316,51,1298,,,,
SAOUHSC_01317,88,788,,,,
SAOUHSC_01318,61,1362,,,,
SAOUHSC_01319,131,10621,,,,
SAOUHSC_01320,106,1679,,,,
SAOUHSC_01321,87,1248,,,,
SAOUHSC_01322,77,1861,,,,
SAOUHSC_01323,74,1913,,,,
SAOUHSC_01324,27,750,,,,
SAOUHSC_01325,11,456,,,,
SAOUHSC_01326,134,1018,,,,
SAOUHSC_01327,109,2761,,,,
SAOUHSC_01328-rpmG,18,112,,,,
SAOUHSC_01329-rpsN,25,235,,,,
SAOUHSC_01330,84,916,,,,
SAOUHSC_01331,13,156,,,,
SAOUHSC_01332,86,1821,,,,
SAOUHSC_01334,22,792,,,,
SAOUHSC_01336,19,428,,,,
SAOUHSC_01339,10,85,,,,
SAOUHSC_01340,38,235,,,,
SAOUHSC_01341,107,1292,,,,
SAOUHSC_01343,270,4176,,,,
SAOUHSC_01346,142,4616,,,,
SAOUHSC_01347,224,906,,,,
SAOUHSC_01348,39,291,,,,
SAOUHSC_01349,19,455,,,,
SAOUHSC_01353,13,752,,,,
SAOUHSC_01354,141,2403,,,,
SAOUHSC_01356,91,1968,,,,
SAOUHSC_01357,19,97,,,,
SAOUHSC_01358,133,1203,,,,
SAOUHSC_01359-mprF,267,4504,,,,
SAOUHSC_01360,41,267,,,,
SAOUHSC_01361-lcpA,74,660,,,,
SAOUHSC_01362,13,355,,,,
SAOUHSC_01363,115,1994,,,,
SAOUHSC_01364,120,1790,,,,
SAOUHSC_01365,94,2924,,,,
SAOUHSC_01366,126,4045,,,,
SAOUHSC_01367,50,695,,,,
SAOUHSC_01368-trpD,87,1734,,,,
SAOUHSC_01369-trpC,71,1147,,,,
SAOUHSC_01370,60,997,,,,
SAOUHSC_01371,95,1078,,,,
SAOUHSC_01372-trpA,58,1738,,,,
SAOUHSC_01375,72,1706,,,,
SAOUHSC_01376,40,516,,,,
SAOUHSC_01377,70,667,,,,
SAOUHSC_01378,75,652,,,,
SAOUHSC_01379,79,1380,,,,
SAOUHSC_01380,107,1258,,,,
SAOUHSC_01381,18,249,,,,
SAOUHSC_01382,38,1995,,,,
SAOUHSC_01383,167,2873,,,,
SAOUHSC_01384,65,926,,,,
SAOUHSC_01385,70,2514,,,,
SAOUHSC_01386,83,1405,,,,
SAOUHSC_01387,77,1071,,,,
SAOUHSC_01388,8,36,,,,
SAOUHSC_01389,75,573,,,,
SAOUHSC_01391,78,141,,,,
SAOUHSC_01392,130,1604,,,,
SAOUHSC_01394,90,472,,,,
SAOUHSC_01395,74,936,,,,
SAOUHSC_01396,72,754,,,,
SAOUHSC_01397,41,232,,,,
SAOUHSC_01398,57,895,,,,
SAOUHSC_01399,88,969,,,,
SAOUHSC_01400,90,1595,,,,
SAOUHSC_01401,111,1197,,,,
SAOUHSC_01402,53,1860,,,,
SAOUHSC_01403,11,56,,,,
SAOUHSC_01405,31,566,,,,
SAOUHSC_01406,22,1611,,,,
SAOUHSC_01407,59,1415,,,,
SAOUHSC_01408,79,589,,,,
SAOUHSC_01409,56,1510,,,,
SAOUHSC_01411,137,1449,,,,
SAOUHSC_01412,163,1723,,,,
SAOUHSC_01413,67,995,,,,
SAOUHSC_01414,18,161,,,,
SAOUHSC_01415,61,587,,,,
SAOUHSC_01416,95,589,,,,
SAOUHSC_01418-sucA,198,1292,,,,
SAOUHSC_01419,110,1682,,,,
SAOUHSC_01420,60,629,,,,
SAOUHSC_01421,11,79,,,,
SAOUHSC_01422,20,1091,,,,
SAOUHSC_01423,59,631,,,,
SAOUHSC_01427,126,815,,,,
SAOUHSC_01429,15,373,,,,
SAOUHSC_01430,36,175,,,,
SAOUHSC_01431,34,774,,,,
SAOUHSC_01432,40,1570,,,,
SAOUHSC_01433,75,960,,,,
SAOUHSC_01436,34,104,,,,
SAOUHSC_01437,97,872,,,,
SAOUHSC_01438,22,188,,,,
SAOUHSC_01439,15,39,,,,
SAOUHSC_01440,72,3745,,,,
SAOUHSC_01441,3,55,,,,
SAOUHSC_01443,31,1221,,,,
SAOUHSC_01447,2037,26443,,,,
SAOUHSC_01448,134,2856,,,,
SAOUHSC_01450,132,2715,,,,
SAOUHSC_01451,80,479,,,,
SAOUHSC_01452,82,2720,,,,
SAOUHSC_01454,80,1650,,,,
SAOUHSC_01455,297,5005,,,,
SAOUHSC_01456,129,2465,,,,
SAOUHSC_01459,26,211,,,,
SAOUHSC_01460,94,1428,,,,
SAOUHSC_01463,45,1351,,,,
SAOUHSC_01464,32,529,,,,
SAOUHSC_01468,35,314,,,,
SAOUHSC_01469,59,437,,,,
SAOUHSC_01471-asnC,89,1295,,,,
SAOUHSC_01472-dinG,251,7205,,,,
SAOUHSC_01475,102,843,,,,
SAOUHSC_01476,25,172,,,,
SAOUHSC_01478,66,2026,,,,
SAOUHSC_01479,56,1227,,,,
SAOUHSC_01480,99,1807,,,,
SAOUHSC_01484,29,204,,,,
SAOUHSC_01485-ndk,32,166,,,,
SAOUHSC_01489,35,268,,,,
SAOUHSC_01493-rpsA,84,701,,,,
SAOUHSC_01494,10,11,,,,
SAOUHSC_01495,9,153,,,,
SAOUHSC_01497,91,1463,,,,
SAOUHSC_01499,87,2240,,,,
SAOUHSC_01500,10,71,,,,
SAOUHSC_01502,112,2023,,,,
SAOUHSC_01503,90,1976,,,,
SAOUHSC_01504,17,13,,,,
SAOUHSC_01505,63,1754,,,,
SAOUHSC_01507,5,44,,,,
SAOUHSC_01508,89,1338,,,,
SAOUHSC_01510,24,98,,,,
SAOUHSC_01511,82,1231,,,,
SAOUHSC_01512,85,1154,,,,
SAOUHSC_01513,22,85,,,,
SAOUHSC_01514,84,1515,,,,
SAOUHSC_01515,146,3711,,,,
SAOUHSC_01516,31,1252,,,,
SAOUHSC_01517,23,115,,,,
SAOUHSC_01518,21,355,,,,
SAOUHSC_01519,27,273,,,,
SAOUHSC_01520,123,1219,,,,
SAOUHSC_01521,162,3233,,,,
SAOUHSC_01522,27,132,,,,
SAOUHSC_01523,154,3175,,,,
SAOUHSC_01524,85,1124,,,,
SAOUHSC_01525,453,5850,,,,
SAOUHSC_01526,11,269,,,,
SAOUHSC_01527,24,317,,,,
SAOUHSC_01528,36,666,,,,
SAOUHSC_01529,54,761,,,,
SAOUHSC_01530,40,1185,,,,
SAOUHSC_01531,38,582,,,,
SAOUHSC_01532,33,677,,,,
SAOUHSC_01533,19,311,,,,
SAOUHSC_01535,87,900,,,,
SAOUHSC_01536,63,2773,,,,
SAOUHSC_01537,102,1291,,,,
SAOUHSC_01538,140,3031,,,,
SAOUHSC_01539,28,355,,,,
SAOUHSC_01540,33,1343,,,,
SAOUHSC_01541,47,815,,,,
SAOUHSC_01542,130,2053,,,,
SAOUHSC_01543,26,891,,,,
SAOUHSC_01544,3,4,,,,
SAOUHSC_01545,25,348,,,,
SAOUHSC_01546,16,270,,,,
SAOUHSC_01547,171,2739,,,,
SAOUHSC_01548,17,645,,,,
SAOUHSC_01549,17,893,,,,
SAOUHSC_01550,23,356,,,,
SAOUHSC_01551,12,56,,,,
SAOUHSC_01552,48,868,,,,
SAOUHSC_01553,18,229,,,,
SAOUHSC_01555,33,432,,,,
SAOUHSC_01556,33,381,,,,
SAOUHSC_01557,15,80,,,,
SAOUHSC_01558,20,223,,,,
SAOUHSC_01559,15,294,,,,
SAOUHSC_01560,20,546,,,,
SAOUHSC_01561,25,690,,,,
SAOUHSC_01562,20,87,,,,
SAOUHSC_01563,158,2071,,,,
SAOUHSC_01565,40,191,,,,
SAOUHSC_01566,101,885,,,,
SAOUHSC_01567,28,1033,,,,
SAOUHSC_01568,19,79,,,,
SAOUHSC_01569,16,84,,,,
SAOUHSC_01570,25,537,,,,
SAOUHSC_01571,21,126,,,,
SAOUHSC_01572,40,1369,,,,
SAOUHSC_01573,14,361,,,,
SAOUHSC_01574,26,777,,,,
SAOUHSC_01576,102,3635,,,,
SAOUHSC_01577,39,1157,,,,
SAOUHSC_01578,24,364,,,,
SAOUHSC_01579,9,19,,,,
SAOUHSC_01580,68,2615,,,,
SAOUHSC_01582,118,4631,,,,
SAOUHSC_01583,194,5356,,,,
SAOUHSC_01584,75,939,,,,
SAOUHSC_01585,156,2162,,,,
SAOUHSC_01586,59,37,,,,
SAOUHSC_01587,59,572,,,,
SAOUHSC_01588,47,315,,,,
SAOUHSC_01589,65,255,,,,
SAOUHSC_01590,43,633,,,,
SAOUHSC_01593,44,1032,,,,
SAOUHSC_01594,81,915,,,,
SAOUHSC_01595,23,423,,,,
SAOUHSC_01596,56,1041,,,,
SAOUHSC_01597,71,1659,,,,
SAOUHSC_01600,73,930,,,,
SAOUHSC_01601,130,2732,,,,
SAOUHSC_01602,88,2674,,,,
SAOUHSC_01603,22,224,,,,
SAOUHSC_01604,23,1168,,,,
SAOUHSC_01606,86,1443,,,,
SAOUHSC_01607,22,134,,,,
SAOUHSC_01608,6,16,,,,
SAOUHSC_01609,98,1198,,,,
SAOUHSC_01610,30,629,,,,
SAOUHSC_01617,45,489,,,,
SAOUHSC_01620-xseA,106,608,,,,
SAOUHSC_01626,103,1430,,,,
SAOUHSC_01627,48,205,,,,
SAOUHSC_01628,24,180,,,,
SAOUHSC_01629,62,132,,,,
SAOUHSC_01630,36,1845,,,,
SAOUHSC_01632,125,2350,,,,
SAOUHSC_01633,106,2053,,,,
SAOUHSC_01634-gcvT,89,1410,,,,
SAOUHSC_01637,58,750,,,,
SAOUHSC_01638,27,273,,,,
SAOUHSC_01639,51,251,,,,
SAOUHSC_01640,28,393,,,,
SAOUHSC_01641,115,1718,,,,
SAOUHSC_01643,89,2196,,,,
SAOUHSC_01644,58,836,,,,
SAOUHSC_01645,29,264,,,,
SAOUHSC_01646,85,1338,,,,
SAOUHSC_01647,20,619,,,,
SAOUHSC_01649,154,2525,,,,
SAOUHSC_01650,46,245,,,,
SAOUHSC_01651-rpmG,9,124,,,,
SAOUHSC_01652-pbp3,174,6604,,,,
SAOUHSC_01653,48,144,,,,
SAOUHSC_01655,43,1275,,,,
SAOUHSC_01656,94,1089,,,,
SAOUHSC_01657,67,600,,,,
SAOUHSC_01658,70,955,,,,
SAOUHSC_01660,100,1490,,,,
SAOUHSC_01664,67,370,,,,
SAOUHSC_01665,51,888,,,,
SAOUHSC_01673,81,747,,,,
SAOUHSC_01675,48,436,,,,
SAOUHSC_01676,78,1186,,,,
SAOUHSC_01677,61,1012,,,,
SAOUHSC_01679,102,2420,,,,
SAOUHSC_01680,59,1213,,,,
SAOUHSC_01681-prmA,75,2065,,,,
SAOUHSC_01682-dnaJ,80,375,,,,
SAOUHSC_01683-dnaK,142,828,,,,
SAOUHSC_01685-hrcA,90,2364,,,,
SAOUHSC_01686,105,2095,,,,
SAOUHSC_01687,5,19,,,,
SAOUHSC_01689-rpsT,21,499,,,,
SAOUHSC_01691,242,4955,,,,
SAOUHSC_01692,40,1475,,,,
SAOUHSC_01693,57,1507,,,,
SAOUHSC_01694,49,1313,,,,
SAOUHSC_01695,31,224,,,,
SAOUHSC_01696,57,1217,,,,
SAOUHSC_01704,31,2293,,,,
SAOUHSC_01705,65,1007,,,,
SAOUHSC_01706,128,3311,,,,
SAOUHSC_01707,102,1748,,,,
SAOUHSC_01708,53,179,,,,
SAOUHSC_01709,101,624,,,,
SAOUHSC_01710,31,379,,,,
SAOUHSC_01711,77,1347,,,,
SAOUHSC_01712,65,1448,,,,
SAOUHSC_01715,59,479,,,,
SAOUHSC_01716,91,675,,,,
SAOUHSC_01717,69,755,,,,
SAOUHSC_01718,62,444,,,,
SAOUHSC_01724,60,396,,,,
SAOUHSC_01728,79,2762,,,,
SAOUHSC_01729,15,110,,,,
SAOUHSC_01730,14,151,,,,
SAOUHSC_01732,35,266,,,,
SAOUHSC_01734-rarA,98,1195,,,,
SAOUHSC_01735,63,1210,,,,
SAOUHSC_01736,17,1414,,,,
SAOUHSC_01743,49,480,,,,
SAOUHSC_01744,186,3338,,,,
SAOUHSC_01747,25,342,,,,
SAOUHSC_01748-tgt,86,1037,,,,
SAOUHSC_01749-queA,88,1856,,,,
SAOUHSC_01752,47,777,,,,
SAOUHSC_01759-mreC,75,1218,,,,
SAOUHSC_01760,3,77,,,,
SAOUHSC_01761,45,923,,,,
SAOUHSC_01761a,22,740,,,,
SAOUHSC_01762,32,1265,,,,
SAOUHSC_01763-radC,51,213,,,,
SAOUHSC_01764,85,1672,,,,
SAOUHSC_01765,12,34,,,,
SAOUHSC_01769,112,2114,,,,
SAOUHSC_01770,8,54,,,,
SAOUHSC_01771,108,525,,,,
SAOUHSC_01780,13,293,,,,
SAOUHSC_01781,82,1143,,,,
SAOUHSC_01794,89,453,,,,
SAOUHSC_01796,78,968,,,,
SAOUHSC_01797,237,2920,,,,
SAOUHSC_01798,168,2777,,,,
SAOUHSC_01799,149,2352,,,,
SAOUHSC_01800,68,2170,,,,
SAOUHSC_01801,100,270,,,,
SAOUHSC_01802,72,1875,,,,
SAOUHSC_01803,127,1434,,,,
SAOUHSC_01805,127,2990,,,,
SAOUHSC_01813,122,2186,,,,
SAOUHSC_01814,33,814,,,,
SAOUHSC_01815,50,1047,,,,
SAOUHSC_01816,85,2008,,,,
SAOUHSC_01817,9,829,,,,
SAOUHSC_01818,95,1701,,,,
SAOUHSC_01819,36,459,,,,
SAOUHSC_01821,77,493,,,,
SAOUHSC_01822-tpx,35,589,,,,
SAOUHSC_01823,82,2072,,,,
SAOUHSC_01824,103,1877,,,,
SAOUHSC_01825,109,2934,,,,
SAOUHSC_01826,18,589,,,,
SAOUHSC_01828,32,1076,,,,
SAOUHSC_01830,62,1077,,,,
SAOUHSC_01831,29,409,,,,
SAOUHSC_01832,98,1732,,,,
SAOUHSC_01833,137,2104,,,,
SAOUHSC_01834,8,386,,,,
SAOUHSC_01835,105,1518,,,,
SAOUHSC_01836,136,3070,,,,
SAOUHSC_01838,105,787,,,,
SAOUHSC_01841,6,16,,,,
SAOUHSC_01843,210,3405,,,,
SAOUHSC_01844,14,16,,,,
SAOUHSC_01845,130,982,,,,
SAOUHSC_01846,133,2884,,,,
SAOUHSC_01847,49,438,,,,
SAOUHSC_01849,106,1462,,,,
SAOUHSC_01850,87,158,,,,
SAOUHSC_01851,13,11,,,,
SAOUHSC_01853,9,106,,,,
SAOUHSC_01854,86,1392,,,,
SAOUHSC_01855,42,151,,,,
SAOUHSC_01865-trmB,266,901,,,,
SAOUHSC_01857,53,401,,,,
SAOUHSC_01858,26,1190,,,,
SAOUHSC_01860,92,2031,,,,
SAOUHSC_01861,36,241,,,,
SAOUHSC_01863,66,1190,,,,
SAOUHSC_01864,53,737,,,,
SAOUHSC_01868,111,1323,,,,
SAOUHSC_01869,41,427,,,,
SAOUHSC_01870,61,2309,,,,
SAOUHSC_01872,101,1719,,,,
SAOUHSC_01873,474,7878,,,,
SAOUHSC_01876,105,3521,,,,
SAOUHSC_01877,73,1428,,,,
SAOUHSC_01878,44,1585,,,,
SAOUHSC_01879,29,135,,,,
SAOUHSC_01880,61,1686,,,,
SAOUHSC_01882,73,1358,,,,
SAOUHSC_01883,18,1868,,,,
SAOUHSC_01884,87,2063,,,,
SAOUHSC_01886-ribH,37,632,,,,
SAOUHSC_01887,97,1477,,,,
SAOUHSC_01888,53,960,,,,
SAOUHSC_01889,75,1691,,,,
SAOUHSC_01890,138,5820,,,,
SAOUHSC_01891,31,651,,,,
SAOUHSC_01893,144,3095,,,,
SAOUHSC_01894,31,524,,,,
SAOUHSC_01896,20,206,,,,
SAOUHSC_01897,44,2204,,,,
SAOUHSC_01898,39,738,,,,
SAOUHSC_01899,49,800,,,,
SAOUHSC_01900,72,892,,,,
SAOUHSC_01901,55,325,,,,
SAOUHSC_01902,33,451,,,,
SAOUHSC_01903,34,972,,,,
SAOUHSC_01904,34,80,,,,
SAOUHSC_01905,108,1923,,,,
SAOUHSC_01907,60,1069,,,,
SAOUHSC_01911,51,1753,,,,
SAOUHSC_01912,50,1282,,,,
SAOUHSC_01913,39,402,,,,
SAOUHSC_01914,15,18,,,,
SAOUHSC_01917,49,1866,,,,
SAOUHSC_01918,41,688,,,,
SAOUHSC_01919,78,1127,,,,
SAOUHSC_01920,43,409,,,,
SAOUHSC_01921,28,1117,,,,
SAOUHSC_01922,55,870,,,,
SAOUHSC_01923,72,1548,,,,
SAOUHSC_01924,11,56,,,,
SAOUHSC_01925,24,630,,,,
SAOUHSC_01926,39,959,,,,
SAOUHSC_01928,15,100,,,,
SAOUHSC_01929,6,5,,,,
SAOUHSC_01930,40,680,,,,
SAOUHSC_01931,496,10888,,,,
SAOUHSC_01932,110,2059,,,,
SAOUHSC_01933,120,2210,,,,
SAOUHSC_01934,9,1252,,,,
SAOUHSC_01935,62,1883,,,,
SAOUHSC_01936,53,578,,,,
SAOUHSC_01937,10,117,,,,
SAOUHSC_01938,56,1584,,,,
SAOUHSC_01939,54,603,,,,
SAOUHSC_01941,64,652,,,,
SAOUHSC_01942,55,401,,,,
SAOUHSC_01945,88,1581,,,,
SAOUHSC_01947,92,2862,,,,
SAOUHSC_01948,64,553,,,,
SAOUHSC_01949,116,1910,,,,
SAOUHSC_01950,57,714,,,,
SAOUHSC_01951,115,884,,,,
SAOUHSC_01952,304,6524,,,,
SAOUHSC_01953,12,202,,,,
SAOUHSC_01955,80,1260,,,,
SAOUHSC_01956,63,1248,,,,
SAOUHSC_01957,90,1077,,,,
SAOUHSC_01958,45,1314,,,,
SAOUHSC_01964,34,304,,,,
SAOUHSC_01966,133,2120,,,,
SAOUHSC_01967,62,3157,,,,
SAOUHSC_01968,37,1838,,,,
SAOUHSC_01969,21,190,,,,
SAOUHSC_01971,72,516,,,,
SAOUHSC_01972,77,434,,,,
SAOUHSC_01976,8,408,,,,
SAOUHSC_01977,18,175,,,,
SAOUHSC_01978,100,2504,,,,
SAOUHSC_01979,39,557,,,,
SAOUHSC_01980,53,626,,,,
SAOUHSC_01981,93,2074,,,,
SAOUHSC_01982,70,1771,,,,
SAOUHSC_01983-fumC,106,770,,,,
SAOUHSC_01984,49,1398,,,,
SAOUHSC_01985,25,230,,,,
SAOUHSC_01986,8,9,,,,
SAOUHSC_01987,54,288,,,,
SAOUHSC_01988,39,441,,,,
SAOUHSC_01989,86,1197,,,,
SAOUHSC_01990,61,1382,,,,
SAOUHSC_01991,130,2121,,,,
SAOUHSC_01992,115,2090,,,,
SAOUHSC_01993,139,1721,,,,
SAOUHSC_01997,37,142,,,,
SAOUHSC_01998,94,4105,,,,
SAOUHSC_01999,46,875,,,,
