#Gumbel
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit gumbel bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab NCTC8325.prot_table transit_no_mismatch/mean_all_blunt.tab -s 20000 -b 1000 -r Mean --no-norm
#Data: bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab
#Annotation path: NCTC8325.prot_table
#FDR Corrected thresholds: 0.993300, 0.045050
#MH Acceptance-Rate:	37.77%
#Total Iterations Performed:	20999
#Sample Size:	20000
#phi estimate:	0.249516
#Time: 804.361941099
#Orf	Name	Desc	k	n	r	s	zbar	Call
SAOUHSC_00525	SAOUHSC_00525	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Subunit beta' binds to sigma factor allowing it to bind to the -10 region of the promoter	10	288	176	2181	0.999600	E
SAOUHSC_00526	SAOUHSC_00526	in Bacillus subtilis this non-essential protein associates with the ribosome	7	22	5	45	0.000000	NE
SAOUHSC_00527	rpsL	interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone%3B located at the interface of the 30S and 50S subunits%2C it traverses the body of the 30S subunit contacting proteins on the other side%3B mutations in the S12 gene confer streptomycin resistance	0	39	39	405	1.000000	E
SAOUHSC_00528	SAOUHSC_00528	binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit	1	43	31	381	1.000000	E
SAOUHSC_00529	fusA	EF-G%3B promotes GTP-dependent translocation of the ribosome during translation%3B many organisms have multiple copies of this gene	3	153	107	1440	0.920000	U
SAOUHSC_00530	tuf	EF-Tu%3B promotes GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis%3B when the tRNA anticodon matches the mRNA codon%2C GTP hydrolysis results%3B the inactive EF-Tu-GDP leaves the ribosome and release of GDP is promoted by elongation factor Ts%3B many prokaryotes have two copies of the gene encoding EF-Tu	3	82	76	1098	0.705450	U
SAOUHSC_00531	SAOUHSC_00531	conserved hypothetical protein	74	102	2	11	0.000000	NE
SAOUHSC_00532	SAOUHSC_00532	catalyzes the formation of 2-amino-3-oxobutanoate from acetyl-CoA and glycine	65	104	4	40	0.000000	NE
SAOUHSC_00533	SAOUHSC_00533	Hsp31 stabilizes early unfolding protein intermediates under severe heat stress	58	78	3	33	0.000000	NE
SAOUHSC_00534	SAOUHSC_00534	catalyzes the phosphorylation of ribulose to ribulose 5-phosphate	130	170	5	34	0.000000	NE
SAOUHSC_00535	SAOUHSC_00535	conserved hypothetical protein	68	94	3	11	0.000000	NE
SAOUHSC_00536	SAOUHSC_00536	catalyzes the transamination of the branched-chain amino acids to their respective alpha-keto acids	55	100	5	25	0.000000	NE
SAOUHSC_00537	SAOUHSC_00537	conserved hypothetical protein	16	21	4	16	0.000000	NE
SAOUHSC_00538	SAOUHSC_00538	haloacid dehalogenase-like hydrolase%2C putative	49	65	4	34	0.000000	NE
SAOUHSC_00539	SAOUHSC_00539	conserved hypothetical protein	41	58	3	11	0.000000	NE
SAOUHSC_00540	SAOUHSC_00540	conserved hypothetical protein	58	69	3	19	0.000000	NE
SAOUHSC_00541	SAOUHSC_00541	conserved hypothetical protein	22	43	5	51	0.000000	NE
SAOUHSC_00542	SAOUHSC_00542	conserved hypothetical protein	63	78	2	10	0.000000	NE
SAOUHSC_00543	SAOUHSC_00543	conserved hypothetical protein	31	52	4	35	0.000000	NE
SAOUHSC_00544	SAOUHSC_00544	sdrC protein%2C putative	184	250	4	92	0.000000	NE
SAOUHSC_00545	SAOUHSC_00545	sdrD protein%2C putative	281	359	7	200	0.000050	NE
SAOUHSC_00547	SAOUHSC_00547	conserved hypothetical protein	107	135	2	7	0.000000	NE
SAOUHSC_00548	SAOUHSC_00548	conserved hypothetical protein	120	155	2	11	0.000000	NE
SAOUHSC_00549	SAOUHSC_00549	similar protein in Methanocaldococcus converts GTP to 7%2C8-dihydro-D-neopterin 2'%2C3'-cyclic phosphate as the first step in methanopterin biosynthesis	0	74	74	853	1.000000	E
SAOUHSC_00550	SAOUHSC_00550	conserved hypothetical protein	34	52	3	14	0.000000	NE
SAOUHSC_00551	SAOUHSC_00551	conserved hypothetical protein	22	28	4	55	0.000000	NE
SAOUHSC_00552	SAOUHSC_00552	conserved hypothetical protein	53	65	2	25	0.000000	NE
SAOUHSC_00553	SAOUHSC_00553	conserved hypothetical protein	47	59	2	13	0.000000	NE
SAOUHSC_00554	SAOUHSC_00554	SIS domain protein	26	39	4	108	0.000000	NE
SAOUHSC_00555	SAOUHSC_00555	hydrolase%2C haloacid dehalogenase-like	42	57	3	13	0.000000	NE
SAOUHSC_00556	SAOUHSC_00556	proline/betaine transporter%2C putative	117	141	3	32	0.000000	NE
SAOUHSC_00557	SAOUHSC_00557	conserved hypothetical protein	107	127	4	50	0.000000	NE
SAOUHSC_00558	SAOUHSC_00558	acetyl-CoA acetyltransferase%2C putative	62	84	3	23	0.000000	NE
SAOUHSC_00559	SAOUHSC_00559	conserved hypothetical protein	29	38	2	12	0.000000	NE
SAOUHSC_00560	SAOUHSC_00560	conserved hypothetical protein	20	24	2	7	0.000050	NE
SAOUHSC_00561	SAOUHSC_00561	conserved hypothetical protein	10	17	3	35	0.000000	NE
SAOUHSC_00562	SAOUHSC_00562	phosphomethylpyrimidine kinase	52	67	3	10	0.000000	NE
SAOUHSC_00564	SAOUHSC_00564	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine	40	55	3	17	0.000000	NE
SAOUHSC_00565	SAOUHSC_00565	conserved hypothetical protein	20	28	3	16	0.000000	NE
SAOUHSC_00567	SAOUHSC_00567	conserved hypothetical protein	31	40	2	10	0.000000	NE
SAOUHSC_00569	SAOUHSC_00569	conserved hypothetical protein	110	141	2	14	0.000000	NE
SAOUHSC_00571	SAOUHSC_00571	conserved hypothetical protein	37	45	2	12	0.000000	NE
SAOUHSC_00572	SAOUHSC_00572	conserved hypothetical protein	40	56	5	47	0.000000	NE
SAOUHSC_00573	SAOUHSC_00573	conserved hypothetical protein	3	64	37	402	0.999950	E
SAOUHSC_00574	eutD	in Salmonella this enzyme is required for ethanolamine catabolism%3B has higher affinity for CoA than Pta	4	64	45	768	0.504200	U
SAOUHSC_00575	SAOUHSC_00575	conserved hypothetical protein	17	59	9	100	0.000050	NE
SAOUHSC_00577	SAOUHSC_00577	mevalonate kinase%2C putative	4	73	40	533	1.000000	E
SAOUHSC_00578	SAOUHSC_00578	diphosphomevalonate decarboxylase	7	72	23	331	0.999950	E
SAOUHSC_00579	SAOUHSC_00579	phosphomevalonate kinase	2	102	100	1030	0.995750	E
SAOUHSC_00580	SAOUHSC_00580	conserved hypothetical protein	16	20	1	2	0.000000	NE
SAOUHSC_00581	SAOUHSC_00581	conserved hypothetical protein	96	140	5	45	0.000000	NE
SAOUHSC_00582	SAOUHSC_00582	conserved hypothetical protein	25	32	4	14	0.000000	NE
SAOUHSC_00583	SAOUHSC_00583	conserved hypothetical protein	4	6	1	2	-1.000000	S
SAOUHSC_00584	SAOUHSC_00584	conserved hypothetical protein	87	119	3	38	0.000000	NE
SAOUHSC_00585	SAOUHSC_00585	conserved hypothetical protein	61	80	4	18	0.000000	NE
SAOUHSC_00586	SAOUHSC_00586	conserved hypothetical protein	74	85	2	5	0.000000	NE
SAOUHSC_00587	SAOUHSC_00587	conserved hypothetical protein	45	57	2	11	0.000000	NE
SAOUHSC_00588	SAOUHSC_00588	conserved hypothetical protein	63	78	4	29	0.000000	NE
SAOUHSC_00589	SAOUHSC_00589	-	12	16	2	9	-1.000000	S
SAOUHSC_00591	SAOUHSC_00591	conserved hypothetical protein	66	77	2	17	0.000000	NE
SAOUHSC_00592	SAOUHSC_00592	conserved hypothetical protein	52	78	3	11	0.000000	NE
SAOUHSC_00596	SAOUHSC_00596	conserved hypothetical protein	50	66	3	30	0.000000	NE
SAOUHSC_00598	SAOUHSC_00598	conserved hypothetical protein	60	69	2	5	0.000000	NE
SAOUHSC_00599	SAOUHSC_00599	conserved hypothetical protein	54	73	3	24	0.000000	NE
SAOUHSC_00600	SAOUHSC_00600	conserved hypothetical protein	19	24	3	23	0.000000	NE
SAOUHSC_00602	SAOUHSC_00602	conserved hypothetical protein	69	80	1	2	0.001800	NE
SAOUHSC_00603	SAOUHSC_00603	conserved hypothetical protein	56	76	3	9	0.000000	NE
SAOUHSC_00604	SAOUHSC_00604	conserved hypothetical protein	39	48	2	7	0.000000	NE
SAOUHSC_00605	SAOUHSC_00605	conserved hypothetical protein	39	50	2	15	0.000000	NE
SAOUHSC_00606	SAOUHSC_00606	conserved hypothetical protein	90	122	3	26	0.000000	NE
SAOUHSC_00607	SAOUHSC_00607	conserved hypothetical protein	38	47	2	53	0.000000	NE
SAOUHSC_00608	adhA	similar to zinc-dependent eukaryotic ADH enzymes and distinct from fermentative ADHs	66	86	3	27	0.000000	NE
SAOUHSC_00609	SAOUHSC_00609	conserved hypothetical protein	9	11	1	2	-1.000000	S
SAOUHSC_00610	SAOUHSC_00610	conserved hypothetical protein	18	33	2	10	0.000000	NE
SAOUHSC_00611	argS	catalyzes a two-step reaction%2C first charging an arginine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA%3B class-I aminoacyl-tRNA synthetase	2	148	83	946	1.000000	E
SAOUHSC_00612	SAOUHSC_00612	endonuclease III%2C putative	51	69	4	30	0.000000	NE
SAOUHSC_00613	SAOUHSC_00613	iron compound ABC transporter%2C substrate-binding protein%2C putative	65	77	2	29	0.000000	NE
SAOUHSC_00614	SAOUHSC_00614	conserved hypothetical protein	88	113	3	20	0.000000	NE
SAOUHSC_00615	SAOUHSC_00615	haloacid dehalogenase-like hydrolase%2C putative	50	69	2	30	0.000000	NE
SAOUHSC_00616	SAOUHSC_00616	conserved hypothetical protein	53	70	2	6	0.000000	NE
SAOUHSC_00617	SAOUHSC_00617	conserved hypothetical protein	41	54	2	7	0.000000	NE
SAOUHSC_00618	SAOUHSC_00618	conserved hypothetical protein	67	90	3	13	0.000000	NE
SAOUHSC_00619	SAOUHSC_00619	conserved hypothetical protein	57	82	5	54	0.000000	NE
SAOUHSC_00620	SAOUHSC_00620	staphylococcal accessory regulator T%2C putative	18	30	3	19	0.000000	NE
SAOUHSC_00621	SAOUHSC_00621	conserved hypothetical protein	79	95	2	7	0.000000	NE
SAOUHSC_00622	SAOUHSC_00622	conserved hypothetical protein	25	33	3	30	0.000000	NE
SAOUHSC_00624	SAOUHSC_00624	integrase/recombinase%2C putative	49	63	4	36	0.000000	NE
SAOUHSC_00625	SAOUHSC_00625	subunit A of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali	206	258	3	21	0.000000	NE
SAOUHSC_00626	SAOUHSC_00626	subunit B of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali	28	36	4	32	0.000000	NE
SAOUHSC_00627	SAOUHSC_00627	subunit C of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali	39	45	2	7	0.000000	NE
SAOUHSC_00628	SAOUHSC_00628	subunit D of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali%3B contains an oxidoreductase domain%3B catalyzes the transfer of electrons from NADH to ubiquinone%3B in S. meliloti it is known to be involved specifically with K+ transport	130	163	3	21	0.000000	NE
SAOUHSC_00629	SAOUHSC_00629	subunit E of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali%3B in S. meliloti it is known to be involved specifically with K+ transport	45	57	2	11	0.000000	NE
SAOUHSC_00632	SAOUHSC_00632	subunit G of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali	29	39	2	5	0.000000	NE
SAOUHSC_00633	SAOUHSC_00633	conserved hypothetical protein	164	205	5	32	0.000000	NE
SAOUHSC_00634	SAOUHSC_00634	ABC transporter%2C substrate-binding protein%2C putative	57	88	5	39	0.000000	NE
SAOUHSC_00636	SAOUHSC_00636	iron (chelated) ABC transporter%2C permease protein%2C putative	76	99	2	8	0.000000	NE
SAOUHSC_00637	SAOUHSC_00637	conserved hypothetical protein	54	71	3	38	0.000000	NE
SAOUHSC_00638	SAOUHSC_00638	conserved hypothetical protein	47	64	2	8	0.000000	NE
SAOUHSC_00639	SAOUHSC_00639	conserved hypothetical protein	74	89	2	16	0.000000	NE
SAOUHSC_00640	SAOUHSC_00640	conserved hypothetical protein	1	68	67	727	0.999950	E
SAOUHSC_00641	SAOUHSC_00641	with TagG is involved in the export of teichoic acids	1	62	42	506	1.000000	E
SAOUHSC_00642	SAOUHSC_00642	teichoic acid biosynthesis protein%2C putative	3	84	56	512	0.997750	E
SAOUHSC_00643	SAOUHSC_00643	tagB protein%2C putative	3	117	82	758	0.570250	U
SAOUHSC_00644	SAOUHSC_00644	tagX protein%2C putative	84	109	3	25	0.000000	NE
SAOUHSC_00645	SAOUHSC_00645	glycerol-3-phosphate cytidylyltransferase	6	34	15	227	0.996500	E
SAOUHSC_00646	SAOUHSC_00646	penicillin-binding protein 4%2C putative	106	131	3	31	0.000000	NE
SAOUHSC_00647	SAOUHSC_00647	conserved hypothetical protein	122	161	4	39	0.000000	NE
SAOUHSC_00648	SAOUHSC_00648	conserved hypothetical protein	80	118	7	54	0.000000	NE
SAOUHSC_00650	SAOUHSC_00650	conserved hypothetical protein	9	10	1	2	-1.000000	S
SAOUHSC_00651	SAOUHSC_00651	conserved hypothetical protein	61	80	2	19	0.000000	NE
SAOUHSC_00652	SAOUHSC_00652	iron compound ABC transporter%2C ATP-binding protein	50	62	2	15	0.000000	NE
SAOUHSC_00653	SAOUHSC_00653	ferrichrome transport permease fhuB%2C putative	80	106	2	10	0.000000	NE
SAOUHSC_00654	SAOUHSC_00654	ferrichrome ABC transporter (permease)%2C putative	82	107	3	23	0.000000	NE
SAOUHSC_00655	SAOUHSC_00655	with DhaL and DhaM forms dihydroxyacetone kinase%2C which is responsible for phosphorylating dihydroxyacetone%3B DhaK is the dihydroxyacetone binding subunit of the dihydroxyacetone kinase	63	87	3	40	0.000000	NE
SAOUHSC_00656	SAOUHSC_00656	conserved hypothetical protein	34	44	3	41	0.000000	NE
SAOUHSC_00658	SAOUHSC_00658	conserved hypothetical protein	15	26	4	59	0.000000	NE
SAOUHSC_00659	SAOUHSC_00659	conserved hypothetical protein	6	47	24	251	0.999850	E
SAOUHSC_00660	SAOUHSC_00660	conserved hypothetical protein	111	133	3	49	0.000000	NE
SAOUHSC_00661	SAOUHSC_00661	conserved hypothetical protein	76	102	2	11	0.000000	NE
SAOUHSC_00662	SAOUHSC_00662	conserved hypothetical protein	46	57	3	17	0.000000	NE
SAOUHSC_00663	SAOUHSC_00663	conserved hypothetical protein	34	47	2	23	0.000000	NE
SAOUHSC_00664	SAOUHSC_00664	conserved hypothetical protein	69	87	3	38	0.000000	NE
SAOUHSC_00665	SAOUHSC_00665	conserved hypothetical protein	52	61	2	14	0.000000	NE
SAOUHSC_00666	SAOUHSC_00666	conserved hypothetical protein	81	99	5	35	0.000000	NE
SAOUHSC_00667	SAOUHSC_00667	ABC transporter ATP-binding protein%2C putative	58	77	5	31	0.000000	NE
SAOUHSC_00668	SAOUHSC_00668	ABC transporter permease%2C putative	181	217	4	44	0.000000	NE
SAOUHSC_00669	SAOUHSC_00669	conserved hypothetical protein	43	56	2	9	0.000000	NE
SAOUHSC_00670	SAOUHSC_00670	conserved hypothetical protein	56	86	5	78	0.000000	NE
SAOUHSC_00671	SAOUHSC_00671	secretory antigen SsaA-like protein	54	65	3	44	0.000000	NE
SAOUHSC_00672	SAOUHSC_00672	conserved hypothetical protein	56	79	4	18	0.000000	NE
SAOUHSC_00673	SAOUHSC_00673	conserved hypothetical protein	192	243	4	32	0.000000	NE
SAOUHSC_00674	SAOUHSC_00674	conserved hypothetical protein	40	52	2	4	0.000000	NE
SAOUHSC_00675	SAOUHSC_00675	conserved hypothetical protein	37	50	2	17	0.000000	NE
SAOUHSC_00676	SAOUHSC_00676	conserved hypothetical protein	30	40	2	22	0.000000	NE
SAOUHSC_00677	SAOUHSC_00677	conserved hypothetical protein	11	12	1	2	-1.000000	S
SAOUHSC_00678	SAOUHSC_00678	conserved hypothetical protein	63	70	1	2	0.000150	NE
SAOUHSC_00679	SAOUHSC_00679	conserved hypothetical protein	53	69	2	34	0.000000	NE
SAOUHSC_00680	SAOUHSC_00680	-	6	8	1	2	-1.000000	S
SAOUHSC_00681	SAOUHSC_00681	major facilitator superfamily protein superfamily	96	131	3	26	0.000000	NE
SAOUHSC_00682	SAOUHSC_00682	conserved hypothetical protein	48	58	2	19	0.000000	NE
SAOUHSC_00683	SAOUHSC_00683	conserved hypothetical protein	57	73	4	32	0.000000	NE
SAOUHSC_00684	SAOUHSC_00684	conserved hypothetical protein	44	50	1	2	0.000000	NE
SAOUHSC_00685	SAOUHSC_00685	conserved hypothetical protein	19	27	3	51	0.000000	NE
SAOUHSC_00686	SAOUHSC_00686	conserved hypothetical protein	22	30	2	21	0.000000	NE
SAOUHSC_00687	SAOUHSC_00687	conserved hypothetical protein	35	49	3	12	0.000000	NE
SAOUHSC_00688	SAOUHSC_00688	conserved hypothetical protein	36	44	1	2	0.000000	NE
SAOUHSC_00689	SAOUHSC_00689	conserved hypothetical protein	28	35	1	2	0.000000	NE
SAOUHSC_00690	SAOUHSC_00690	conserved hypothetical protein	38	54	2	20	0.000000	NE
SAOUHSC_00691	SAOUHSC_00691	BacA%3B phosphatase activity in Escherichia coli not kinase%3B involved in bacitracin resistance as bacitracin supposedly sequesters undecaprenyl disphosphate which reduces the pool of lipid carrier available to the cell	74	87	2	27	0.000000	NE
SAOUHSC_00692	SAOUHSC_00692	conserved hypothetical protein	125	162	3	65	0.000000	NE
SAOUHSC_00693	SAOUHSC_00693	conserved hypothetical protein	128	174	3	17	0.000000	NE
SAOUHSC_00694	SAOUHSC_00694	conserved hypothetical protein	30	39	3	21	0.000000	NE
SAOUHSC_00695	SAOUHSC_00695	conserved hypothetical protein	60	84	4	32	0.000000	NE
SAOUHSC_00696	SAOUHSC_00696	conserved hypothetical protein	50	73	4	20	0.000000	NE
SAOUHSC_00697	SAOUHSC_00697	conserved hypothetical protein	27	34	3	23	0.000000	NE
SAOUHSC_00698	SAOUHSC_00698	conserved hypothetical protein	118	151	2	9	0.000000	NE
SAOUHSC_00699	SAOUHSC_00699	deoxyribodipyrimidine photolyase%2C putative	83	111	3	40	0.000000	NE
SAOUHSC_00700	SAOUHSC_00700	conserved hypothetical protein	33	42	2	11	0.000000	NE
SAOUHSC_00701	SAOUHSC_00701	conserved hypothetical protein	54	67	2	9	0.000000	NE
SAOUHSC_00702	SAOUHSC_00702	conserved hypothetical protein	28	32	1	2	0.000000	NE
SAOUHSC_00703	SAOUHSC_00703	quinolone resistance norA protein%2C putative	90	113	2	14	0.000000	NE
SAOUHSC_00704	SAOUHSC_00704	conserved hypothetical protein	40	49	2	27	0.000000	NE
SAOUHSC_00705	SAOUHSC_00705	conserved hypothetical protein	26	33	4	85	0.000000	NE
SAOUHSC_00706	SAOUHSC_00706	conserved hypothetical protein	60	73	3	51	0.000000	NE
SAOUHSC_00707	SAOUHSC_00707	fructose 1-phosphate kinase%2C putative	54	72	3	32	0.000000	NE
SAOUHSC_00708	SAOUHSC_00708	fructose specific permease%2C putative	122	158	3	30	0.000000	NE
SAOUHSC_00710	SAOUHSC_00710	N-acetylglucosamine-6-phosphate deacetylase	76	101	4	71	0.000000	NE
SAOUHSC_00711	SAOUHSC_00711	conserved hypothetical protein	101	130	4	47	0.000000	NE
SAOUHSC_00712	SAOUHSC_00712	conserved hypothetical protein	60	79	2	7	0.000000	NE
SAOUHSC_00713	SAOUHSC_00713	conserved hypothetical protein	76	101	4	60	0.000000	NE
SAOUHSC_00714	SAOUHSC_00714	sensor histidine kinase SaeS%2C putative	101	120	2	13	0.000000	NE
SAOUHSC_00715	SAOUHSC_00715	response regulator%2C putative	50	67	3	35	0.000000	NE
SAOUHSC_00716	SAOUHSC_00716	conserved hypothetical protein	35	47	3	25	0.000000	NE
SAOUHSC_00717	SAOUHSC_00717	conserved hypothetical protein	30	39	3	25	0.000000	NE
SAOUHSC_00718	SAOUHSC_00718	conserved hypothetical protein	60	79	3	33	0.000000	NE
SAOUHSC_00719	SAOUHSC_00719	conserved hypothetical protein	39	62	3	22	0.000000	NE
SAOUHSC_00720	SAOUHSC_00720	6-pyruvoyl tetrahydropterin synthase superfamily%2C putative	24	32	3	15	0.000000	NE
SAOUHSC_00721	SAOUHSC_00721	conserved hypothetical protein	36	57	3	52	0.000000	NE
SAOUHSC_00722	SAOUHSC_00722	para-aminobenzoate synthase%2C glutamine amidotransferase%2C component II%2C putative	52	60	2	15	0.000000	NE
SAOUHSC_00723	SAOUHSC_00723	-	94	120	3	20	0.000000	NE
SAOUHSC_00724	SAOUHSC_00724	chorismate binding enzyme%2C putative	39	53	2	34	0.000000	NE
SAOUHSC_00725	SAOUHSC_00725	conserved hypothetical protein	19	26	3	24	0.000000	NE
SAOUHSC_00726	SAOUHSC_00726	conserved hypothetical protein	55	72	2	9	0.000000	NE
SAOUHSC_00727	SAOUHSC_00727	conserved hypothetical protein	70	90	4	36	0.000000	NE
SAOUHSC_00728	SAOUHSC_00728	conserved hypothetical protein	10	193	70	754	0.999800	E
SAOUHSC_00729	SAOUHSC_00729	ABC transporter%2C ATP-binding protein	112	169	5	45	0.000000	NE
SAOUHSC_00730	SAOUHSC_00730	ATP-dependent DNA helicase RecQ	125	173	4	28	0.000000	NE
SAOUHSC_00731	SAOUHSC_00731	ABC transporter domain protein	59	79	4	24	0.000000	NE
SAOUHSC_00732	SAOUHSC_00732	amino acid ABC transporter%2C permease protein%2C putative	130	169	3	32	0.000000	NE
SAOUHSC_00733	SAOUHSC_00733	catalyzes the formation of L-histidinol phosphate from imidazole-acetol phosphate and glutamate in histidine biosynthesis	80	103	3	18	0.000000	NE
SAOUHSC_00734	SAOUHSC_00734	conserved hypothetical protein	35	50	2	17	0.000000	NE
SAOUHSC_00735	SAOUHSC_00735	conserved hypothetical protein	4	5	1	2	-1.000000	S
SAOUHSC_00736	SAOUHSC_00736	conserved hypothetical protein	67	84	2	12	0.000000	NE
SAOUHSC_00737	SAOUHSC_00737	-	15	16	1	2	-1.000000	S
SAOUHSC_00738	SAOUHSC_00738	conserved hypothetical protein	132	155	3	27	0.000000	NE
SAOUHSC_00739	SAOUHSC_00739	NADPH-dependent%3B catalyzes the reduction of 7-cyano-7-deazaguanine to 7-aminomethyl-7-deazaguanine in queuosine biosynthesis	41	46	1	2	0.000050	NE
SAOUHSC_00740	SAOUHSC_00740	conserved hypothetical protein	61	78	3	23	0.000000	NE
SAOUHSC_00741	nrdI	in Salmonella NrdI has a stimulatory effect on the ribonucleotide reductase activity of NrdH with NrdEF	0	32	32	388	1.000000	E
SAOUHSC_00742	SAOUHSC_00742	Catalyzes the rate-limiting step in dNTP synthesis	4	192	57	664	1.000000	E
SAOUHSC_00743	nrdF	B2 or R2 protein%3B type 1b enzyme%3B catalyzes the rate-limiting step in dNTP synthesis%3B converts nucleotides to deoxynucleotides%3B forms a homodimer and then a multimeric complex with NrdE	4	86	49	535	1.000000	E
SAOUHSC_00744	SAOUHSC_00744	conserved hypothetical protein	6	8	1	2	-1.000000	S
SAOUHSC_00745	SAOUHSC_00745	conserved hypothetical protein	7	18	4	20	-1.000000	S
SAOUHSC_00746	SAOUHSC_00746	conserved hypothetical protein	71	97	3	35	0.000000	NE
SAOUHSC_00747	SAOUHSC_00747	conserved hypothetical protein	92	111	3	38	0.000000	NE
SAOUHSC_00748	SAOUHSC_00748	conserved hypothetical protein	60	75	3	34	0.000000	NE
SAOUHSC_00749	SAOUHSC_00749	conserved hypothetical protein	74	103	3	22	0.000000	NE
SAOUHSC_00751	SAOUHSC_00751	conserved hypothetical protein	24	33	3	29	0.000000	NE
SAOUHSC_00752	murB	catalyzes the reduction of UDP-N-acetylglucosamine enolpyruvate to form UDP-N-acetylmuramate in peptidoglycan biosynthesis	1	88	44	408	0.999950	E
SAOUHSC_00753	SAOUHSC_00753	conserved hypothetical protein	47	53	1	2	0.000100	NE
SAOUHSC_00754	SAOUHSC_00754	conserved hypothetical protein	74	96	3	16	0.000000	NE
SAOUHSC_00755	SAOUHSC_00755	conserved hypothetical protein	23	27	1	2	0.000000	NE
SAOUHSC_00756	SAOUHSC_00756	conserved hypothetical protein	70	90	6	58	0.000000	NE
SAOUHSC_00757	SAOUHSC_00757	catalyzes the release of the N-terminal amino acid from a tripeptide	83	106	3	32	0.000000	NE
SAOUHSC_00758	SAOUHSC_00758	conserved hypothetical protein	46	55	2	12	0.000000	NE
SAOUHSC_00759	SAOUHSC_00759	conserved hypothetical protein	46	60	2	13	0.000000	NE
SAOUHSC_00760	SAOUHSC_00760	conserved hypothetical protein	85	109	3	29	0.000000	NE
SAOUHSC_00762	SAOUHSC_00762	conserved hypothetical protein	4	109	74	772	0.999750	E
SAOUHSC_00763	SAOUHSC_00763	conserved hypothetical protein	44	58	3	23	0.000000	NE
SAOUHSC_00764	SAOUHSC_00764	conserved hypothetical protein	28	34	1	2	0.000000	NE
SAOUHSC_00765	SAOUHSC_00765	conserved hypothetical protein	56	81	3	68	0.000000	NE
SAOUHSC_00766	SAOUHSC_00766	conserved hypothetical protein	49	67	3	14	0.000000	NE
SAOUHSC_00767	SAOUHSC_00767	conserved hypothetical protein	36	49	4	48	0.000000	NE
SAOUHSC_00769	secA	functions in protein export%3B can interact with acidic membrane phospholipids and the SecYEG protein complex%3B binds to preproteins%3B binds to ATP and undergoes a conformational change to promote membrane insertion of SecA/bound preprotein%3B ATP hydrolysis appears to drive release of the preprotein from SecA and deinsertion of SecA from the membrane%3B additional proteins SecD/F/YajC aid SecA recycling%3B exists in an equilibrium between monomers and dimers%3B may possibly form higher order oligomers%3B proteins in this cluster correspond SecA1%3B SecA2 is not essential and seems to play a role in secretion of a subset of proteins	9	216	173	1962	0.999900	E
