#Tn5 Gaps
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit tn5gaps bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig BW25113.prot_table transit_res/sum_all_1_BW25113.tab -r Sum
#Data: bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig
#Annotation path: BW25113.prot_table
#Time: 126.894939184
#Essential gene count: 455
#Minimum reads: 1
#Replicate combination method: Sum
#Minimum significant run length: 80
#Expected run length: 5.13993
#Expected max run length: 59.4475978239
#Orf	Name	Desc	k	n	r	ovr	lenovr	pval	padj	call
BW25113_0956	matP	putative dehydrogenase	37	450	48	48	48	0.99995	1.00000	Non-essential
BW25113_0957	ompA	outer membrane protein 3a (II*%3BG%3Bd)	146	1038	62	62	62	0.28987	1.00000	Non-essential
BW25113_0958	sulA	suppressor of lon%3B inhibits cell division and ftsZ ring formation	111	507	30	30	30	1.00000	1.00000	Non-essential
BW25113_0959	sxy	-	113	627	37	37	37	1.00000	1.00000	Non-essential
BW25113_0960	yccS	-	412	2151	40	40	40	1.00000	1.00000	Non-essential
BW25113_0961	yccF	-	68	444	21	21	21	1.00000	1.00000	Non-essential
BW25113_0962	helD	-	309	2052	48	48	48	0.99995	1.00000	Non-essential
BW25113_0963	mgsA	-	83	456	36	36	36	1.00000	1.00000	Non-essential
BW25113_0964	yccT	-	122	660	44	44	44	1.00000	1.00000	Non-essential
BW25113_0965	yccU	-	79	411	39	39	39	1.00000	1.00000	Non-essential
BW25113_0966	hspQ	-	71	315	17	17	17	1.00000	1.00000	Non-essential
BW25113_0967	rlmI	putative oxidoreductase	213	1188	47	47	47	1.00000	1.00000	Non-essential
BW25113_0968	yccX	-	54	276	23	23	23	1.00000	1.00000	Non-essential
BW25113_0969	tusE	putative sulfite reductase	13	327	77	77	77	0.00932	0.08337	Non-essential
BW25113_0970	yccA	putative carrier/transport protein	152	657	28	28	28	1.00000	1.00000	Non-essential
BW25113_0971	serT	-	3	85	67	67	67	0.09800	0.71838	Non-essential
BW25113_0972	hyaA	hydrogenase-1 small subunit	207	1116	23	23	23	1.00000	1.00000	Non-essential
BW25113_0973	hyaB	hydrogenase-1 large subunit	310	1791	38	38	38	1.00000	1.00000	Non-essential
BW25113_0974	hyaC	probable Ni/Fe-hydrogenase 1 b-type cytochrome subunit	128	705	30	30	30	1.00000	1.00000	Non-essential
BW25113_0975	hyaD	processing of HyaA and HyaB proteins	112	585	31	31	31	1.00000	1.00000	Non-essential
BW25113_0976	hyaE	processing of HyaA and HyaB proteins	77	396	25	25	25	1.00000	1.00000	Non-essential
BW25113_0977	hyaF	nickel incorporation into hydrogenase-1 proteins	169	855	29	29	29	1.00000	1.00000	Non-essential
BW25113_0978	cbdA	-	309	1542	28	28	28	1.00000	1.00000	Non-essential
BW25113_0979	cbdB	probable third cytochrome oxidase%2C subunit II	222	1134	52	52	52	0.97696	1.00000	Non-essential
BW25113_0980	appA	phosphoanhydride phosphorylase%3B pH 2.5 acid phosphatase%3B periplasmic	232	1296	68	68	68	0.07793	0.58730	Non-essential
BW25113_0981	etk	-	450	2178	44	44	44	1.00000	1.00000	Non-essential
BW25113_0982	etp	putative phosphatase	80	444	37	37	37	1.00000	1.00000	Non-essential
BW25113_0983	gfcE	putative function in exopolysaccharide production	205	1137	48	48	48	0.99995	1.00000	Non-essential
BW25113_0984	gfcD	-	365	2094	60	60	60	0.42484	1.00000	Non-essential
BW25113_0985	gfcC	-	160	744	33	33	33	1.00000	1.00000	Non-essential
BW25113_0986	gfcB	putative regulator	275	642	17	17	17	1.00000	1.00000	Non-essential
BW25113_0987	gfcA	-	87	303	18	18	18	1.00000	1.00000	Non-essential
BW25113_0988	insB1	-	193	501	23	23	23	1.00000	1.00000	Non-essential
BW25113_0989	cspH	cold shock-like protein	80	210	14	14	14	1.00000	1.00000	Non-essential
BW25113_0990	cspG	homolog of Salmonella cold shock protein	33	210	39	39	39	1.00000	1.00000	Non-essential
BW25113_0991	ymcE	suppresses fabA and ts growth mutation	44	228	40	40	44	1.00000	1.00000	Non-essential
BW25113_0992	yccM	-	244	1071	32	32	32	1.00000	1.00000	Non-essential
BW25113_0993	torS	-	447	2742	61	61	61	0.35282	1.00000	Non-essential
BW25113_0994	torT	part of regulation of tor operon%2C periplasmic	145	1026	54	54	54	0.90304	1.00000	Non-essential
BW25113_0995	torR	response transcriptional regulator for torA (sensor TorS)	104	690	49	49	49	0.99957	1.00000	Non-essential
BW25113_0996	torC	trimethylamine N-oxide reductase%2C cytochrome c-type subunit	180	1170	36	36	36	1.00000	1.00000	Non-essential
BW25113_0997	torA	trimethylamine N-oxide reductase subunit	367	2544	76	76	76	0.01183	0.10390	Non-essential
BW25113_0998	torD	part of trimethylamine-N-oxide oxidoreductase	96	597	51	51	51	0.99171	1.00000	Non-essential
BW25113_0999	cbpM	-	45	303	41	41	41	1.00000	1.00000	Non-essential
BW25113_1000	cbpA	curved DNA-binding protein%3B functions closely related to DnaJ	135	918	52	52	52	0.97696	1.00000	Non-essential
BW25113_1001	yccE	-	91	1254	175	175	175	0.00000	0.00000	Essential
BW25113_1002	agp	periplasmic glucose-1-phosphatase	266	1239	27	27	27	1.00000	1.00000	Non-essential
BW25113_1003	yccJ	-	32	225	33	33	33	1.00000	1.00000	Non-essential
BW25113_1004	wrbA	flavoprotein WrbA (Trp repressor binding protein)	142	594	31	31	31	1.00000	1.00000	Non-essential
BW25113_1006	rutG	putative transport protein	214	1326	37	37	37	1.00000	1.00000	Non-essential
BW25113_1007	rutF	-	96	492	25	25	25	1.00000	1.00000	Non-essential
BW25113_1008	rutE	-	113	588	30	30	30	1.00000	1.00000	Non-essential
BW25113_1009	rutD	-	154	798	44	44	44	1.00000	1.00000	Non-essential
BW25113_1010	rutC	-	64	384	53	53	53	0.94850	1.00000	Non-essential
BW25113_1011	rutB	-	88	690	41	41	41	1.00000	1.00000	Non-essential
BW25113_1012	rutA	-	172	1146	45	45	45	1.00000	1.00000	Non-essential
BW25113_1013	rutR	hypothetical transcriptional regulator	94	636	27	27	27	1.00000	1.00000	Non-essential
BW25113_1014	putA	proline dehydrogenase%2C P5C dehydrogenase	666	3960	47	47	47	1.00000	1.00000	Non-essential
BW25113_1015	putP	major sodium/proline symporter	271	1506	32	32	32	1.00000	1.00000	Non-essential
BW25113_1018	efeO	-	200	1125	28	28	28	1.00000	1.00000	Non-essential
BW25113_1019	efeB	-	178	1269	44	44	44	1.00000	1.00000	Non-essential
BW25113_1020	phoH	PhoB-dependent%2C ATP-binding pho regulon component%3B may be helicase%3B induced by P starvation	187	1062	35	35	35	1.00000	1.00000	Non-essential
BW25113_1021	pgaD	-	159	411	16	16	16	1.00000	1.00000	Non-essential
BW25113_1022	pgaC	-	580	1323	22	22	22	1.00000	1.00000	Non-essential
BW25113_1023	pgaB	-	634	2016	20	20	20	1.00000	1.00000	Non-essential
BW25113_1024	pgaA	putative outer membrane protein	886	2421	35	35	35	1.00000	1.00000	Non-essential
BW25113_1025	ycdT	-	281	1356	172	172	172	0.00000	0.00000	Essential
BW25113_1026	insF1	-	368	864	23	23	23	1.00000	1.00000	Non-essential
BW25113_1027	insE1	-	113	297	10	10	10	1.00000	1.00000	Non-essential
BW25113_1029	ycdU	-	262	984	31	31	31	1.00000	1.00000	Non-essential
BW25113_1032	serX	-	13	85	11	12	12	1.00000	1.00000	Non-essential
BW25113_1033	ghrA	putative dehydrogenase	145	936	44	44	44	1.00000	1.00000	Non-essential
BW25113_1034	ycdX	-	152	735	41	41	41	1.00000	1.00000	Non-essential
BW25113_1035	ycdY	putative oxidoreductase component	114	552	31	31	31	1.00000	1.00000	Non-essential
BW25113_1036	ycdZ	-	103	489	21	24	24	1.00000	1.00000	Non-essential
BW25113_1037	csgG	curli production assembly/transport component%2C 2nd curli operon	227	831	25	25	25	1.00000	1.00000	Non-essential
BW25113_1038	csgF	curli production assembly/transport component%2C 2nd curli operon	136	414	37	37	37	1.00000	1.00000	Non-essential
BW25113_1039	csgE	curli production assembly/transport component%2C 2nd curli operon	116	387	27	30	39	1.00000	1.00000	Non-essential
BW25113_1040	csgD	putative 2-component transcriptional regulator for 2nd curli operon	161	648	43	43	43	1.00000	1.00000	Non-essential
BW25113_1041	csgB	minor curlin subunit precursor%2C similar ro CsgA	161	453	23	23	24	1.00000	1.00000	Non-essential
BW25113_1042	csgA	curlin major subunit%2C coiled surface structures%3B cryptic	201	453	22	22	22	1.00000	1.00000	Non-essential
BW25113_1043	csgC	putative curli production protein	141	330	16	16	16	1.00000	1.00000	Non-essential
BW25113_1044	ymdA	-	107	309	22	22	22	1.00000	1.00000	Non-essential
BW25113_1045	ymdB	putative polyprotein	98	531	31	31	31	1.00000	1.00000	Non-essential
BW25113_1046	clsC	putative synthase	339	1419	39	39	39	1.00000	1.00000	Non-essential
BW25113_1047	opgC	-	395	1155	61	61	61	0.35282	1.00000	Non-essential
BW25113_1048	opgG	periplasmic glucans biosynthesis protein	237	1533	36	36	36	1.00000	1.00000	Non-essential
BW25113_1049	opgH	membrane glycosyltransferase%3B synthesis of membrane-derived oligosaccharide (MDO)	413	2541	39	39	39	1.00000	1.00000	Non-essential
BW25113_1050	yceK	-	48	225	22	22	22	1.00000	1.00000	Non-essential
BW25113_1051	msyB	acidic protein suppresses mutants lacking function of protein export	50	372	48	48	48	0.99995	1.00000	Non-essential
BW25113_1053	mdtG	putative transport protein	194	1224	39	39	39	1.00000	1.00000	Non-essential
BW25113_1054	lpxL	heat shock protein	12	918	243	243	243	0.00000	0.00000	Essential
BW25113_1055	yceA	-	208	1050	44	44	44	1.00000	1.00000	Non-essential
BW25113_1056	yceI	-	180	573	24	24	24	1.00000	1.00000	Non-essential
BW25113_1057	yceJ	-	186	564	24	24	24	1.00000	1.00000	Non-essential
BW25113_1058	yceO	-	26	138	17	20	32	1.00000	1.00000	Non-essential
BW25113_1059	solA	sarcosine oxidase-like protein	276	1116	39	39	39	1.00000	1.00000	Non-essential
BW25113_1060	bssS	-	91	252	22	22	22	1.00000	1.00000	Non-essential
BW25113_1061	dinI	damage-inducible protein I	62	243	17	17	17	1.00000	1.00000	Non-essential
BW25113_1062	pyrC	-	176	1044	28	28	28	1.00000	1.00000	Non-essential
BW25113_1063	yceB	-	95	558	29	29	29	1.00000	1.00000	Non-essential
BW25113_1064	grxB	glutaredoxin 2	102	645	32	32	32	1.00000	1.00000	Non-essential
BW25113_1065	mdtH	-	234	1206	28	28	28	1.00000	1.00000	Non-essential
BW25113_1066	rimJ	acetylation of N-terminal alanine of 30S ribosomal subunit protein S5	159	582	22	22	22	1.00000	1.00000	Non-essential
BW25113_1067	yceH	-	108	645	30	30	30	1.00000	1.00000	Non-essential
BW25113_1068	yceM	putative virulence factor	161	921	33	33	33	1.00000	1.00000	Non-essential
BW25113_1069	murJ	putative virulence factor	19	1533	426	426	426	0.00000	0.00000	Essential
BW25113_1070	flgN	protein of flagellar biosynthesis	74	414	25	25	25	1.00000	1.00000	Non-essential
BW25113_1071	flgM	anti-FliA (anti-sigma) factor%3B also known as RflB protein	35	291	36	36	36	1.00000	1.00000	Non-essential
BW25113_1072	flgA	flagellar biosynthesis%3B assembly of basal-body periplasmic P ring	103	657	38	38	38	1.00000	1.00000	Non-essential
BW25113_1073	flgB	flagellar biosynthesis%2C cell-proximal portion of basal-body rod	77	414	36	36	36	1.00000	1.00000	Non-essential
BW25113_1074	flgC	flagellar biosynthesis%2C cell-proximal portion of basal-body rod	77	402	26	26	26	1.00000	1.00000	Non-essential
BW25113_1075	flgD	flagellar biosynthesis%2C initiation of hook assembly	116	693	36	36	36	1.00000	1.00000	Non-essential
BW25113_1076	flgE	flagellar biosynthesis%2C hook protein	205	1206	37	37	37	1.00000	1.00000	Non-essential
BW25113_1077	flgF	flagellar biosynthesis%2C cell-proximal portion of basal-body rod	118	753	36	36	36	1.00000	1.00000	Non-essential
BW25113_1078	flgG	flagellar biosynthesis%2C cell-distal portion of basal-body rod	127	780	24	24	24	1.00000	1.00000	Non-essential
BW25113_1079	flgH	flagellar biosynthesis%2C basal-body outer-membrane L (lipopolysaccharide layer) ring protein	122	696	52	52	52	0.97696	1.00000	Non-essential
BW25113_1080	flgI	homolog of Salmonella P-ring of flagella basal body	197	1095	36	36	36	1.00000	1.00000	Non-essential
BW25113_1081	flgJ	flagellar biosynthesis	136	939	46	46	46	1.00000	1.00000	Non-essential
BW25113_1082	flgK	flagellar biosynthesis%2C hook-filament junction protein 1	287	1641	46	46	46	1.00000	1.00000	Non-essential
BW25113_1083	flgL	flagellar biosynthesis%3B hook-filament junction protein	149	951	43	43	43	1.00000	1.00000	Non-essential
BW25113_1084	rne	RNase E%2C membrane attachment%2C mRNA turnover%2C maturation 5S RNA	230	3183	540	540	540	0.00000	0.00000	Essential
BW25113_1085	yceQ	-	29	318	50	50	50	0.99774	1.00000	Non-essential
BW25113_1086	rluC	-	172	957	25	25	25	1.00000	1.00000	Non-essential
BW25113_1087	yceF	-	114	582	20	20	20	1.00000	1.00000	Non-essential
BW25113_1088	yceD	-	82	519	26	26	26	1.00000	1.00000	Non-essential
BW25113_1089	rpmF	-	5	171	117	117	117	0.00000	0.00001	Essential
BW25113_1090	plsX	glycerolphosphate auxotrophy in plsB background	150	1068	38	38	38	1.00000	1.00000	Non-essential
BW25113_1091	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III%3B acetylCoA ACP transacylase	16	951	243	243	243	0.00000	0.00000	Essential
BW25113_1092	fabD	-	12	927	232	232	232	0.00000	0.00000	Essential
BW25113_1093	fabG	-	3	732	310	313	328	0.00000	0.00000	Essential
BW25113_1094	acpP	acyl carrier protein	4	234	79	79	79	0.00578	0.05393	Non-essential
BW25113_1095	fabF	-	199	1239	49	49	49	0.99957	1.00000	Non-essential
BW25113_1096	pabC	4-amino-4-deoxychorismate lyase	102	807	38	38	38	1.00000	1.00000	Non-essential
BW25113_1097	yceG	putative thymidylate kinase	138	1020	43	43	43	1.00000	1.00000	Non-essential
BW25113_1098	tmk	-	14	639	105	105	105	0.00001	0.00013	Essential
BW25113_1099	holB	-	21	1002	268	268	268	0.00000	0.00000	Essential
BW25113_1100	ycfH	-	131	795	36	36	36	1.00000	1.00000	Non-essential
BW25113_1101	ptsG	PTS system%2C glucose-specific IIBC component	248	1431	30	30	30	1.00000	1.00000	Non-essential
BW25113_1102	fhuE	outer membrane receptor for ferric iron uptake	406	2187	38	38	38	1.00000	1.00000	Non-essential
BW25113_1103	hinT	-	58	357	36	36	58	0.59088	1.00000	Non-essential
BW25113_1104	ycfL	-	54	375	28	28	28	1.00000	1.00000	Non-essential
BW25113_1105	lpoB	-	114	639	28	28	28	1.00000	1.00000	Non-essential
BW25113_1106	thiK	putative beta-glucosidase	130	822	28	28	28	1.00000	1.00000	Non-essential
BW25113_1107	nagZ	-	151	1023	49	49	49	0.99957	1.00000	Non-essential
BW25113_1108	ycfP	-	68	540	54	54	54	0.90304	1.00000	Non-essential
BW25113_1109	ndh	respiratory NADH dehydrogenase	126	1302	55	55	55	0.84050	1.00000	Non-essential
BW25113_1110	ycfJ	-	84	537	25	25	25	1.00000	1.00000	Non-essential
BW25113_1111	ycfQ	-	78	630	27	27	27	1.00000	1.00000	Non-essential
BW25113_1112	bhsA	-	23	255	35	35	35	1.00000	1.00000	Non-essential
BW25113_1113	ldtC	-	147	960	48	48	85	0.00137	0.01400	Essential
BW25113_1114	mfd	transcription-repair coupling factor%3B mutation frequency decline	480	3444	69	69	69	0.06184	0.47856	Non-essential
BW25113_1115	ycfT	-	174	1071	40	40	40	1.00000	1.00000	Non-essential
BW25113_1116	lolC	membrane component of ABC superfamily	7	1197	440	440	440	0.00000	0.00000	Essential
BW25113_1117	lolD	putative ATP-binding component of a transport system	3	699	426	426	620	0.00000	0.00000	Essential
BW25113_1118	lolE	putative kinase%3B membrane component of ABC superfamily	10	1242	328	328	328	0.00000	0.00000	Essential
BW25113_1119	nagK	-	125	909	43	43	43	1.00000	1.00000	Non-essential
BW25113_1120	cobB	putative nicotinic acid mononucleotide:5%2C6-dimethylbenzimidazole (DMB) phosphoribosyltransferase	100	726	34	34	34	1.00000	1.00000	Non-essential
BW25113_1121	ycfZ	-	218	786	20	20	20	1.00000	1.00000	Non-essential
BW25113_1122	ymfA	-	146	459	39	39	39	1.00000	1.00000	Non-essential
BW25113_1123	potD	spermidine/putrescine periplasmic transport protein%3B periplasmic-binding component of ABC superfamily	176	1044	55	55	55	0.84050	1.00000	Non-essential
BW25113_1124	potC	spermidine/putrescine transport system permease%3B membrane component of ABC superfamily	94	792	65	65	65	0.15351	1.00000	Non-essential
BW25113_1125	potB	spermidine/putrescine transport system permease%3B membrane component of ABC superfamily	115	825	38	38	38	1.00000	1.00000	Non-essential
BW25113_1126	potA	ATP-binding component of spermidine/putrescine transport	159	1134	56	56	56	0.76405	1.00000	Non-essential
BW25113_1127	pepT	putative peptidase T	169	1224	54	54	54	0.90304	1.00000	Non-essential
BW25113_1128	roxA	-	157	1119	64	64	64	0.19091	1.00000	Non-essential
BW25113_1129	phoQ	sensor protein PhoQ	254	1458	55	55	55	0.84050	1.00000	Non-essential
BW25113_1130	phoP	transcriptional regulatory protein	169	669	29	29	29	1.00000	1.00000	Non-essential
BW25113_1131	purB	-	28	1368	320	320	320	0.00000	0.00000	Essential
BW25113_1132	hflD	-	62	639	67	67	67	0.09800	0.71838	Non-essential
BW25113_1133	mnmA	-	36	1104	167	167	167	0.00000	0.00000	Essential
BW25113_1134	nudJ	-	48	459	34	34	34	1.00000	1.00000	Non-essential
BW25113_1135	rluE	-	98	651	45	45	45	1.00000	1.00000	Non-essential
BW25113_1136	icd	isocitrate dehydrogenase%2C specific for NADP+	120	1248	89	89	89	0.00053	0.00557	Essential
BW25113_1137	ymfD	-	47	663	132	132	132	0.00000	0.00000	Essential
BW25113_1138	ymfE	-	15	702	225	225	225	0.00000	0.00000	Essential
BW25113_1139	lit	phage T4 late gene expression%3B at locus of e14 element	154	891	167	167	167	0.00000	0.00000	Essential
BW25113_1140	intE	prophage e14 integrase	329	1125	30	30	30	1.00000	1.00000	Non-essential
BW25113_1141	xisE	-	65	243	29	29	29	1.00000	1.00000	Non-essential
BW25113_1143	ymfI	-	52	339	48	48	48	0.99995	1.00000	Non-essential
BW25113_1144	ymfJ	-	55	306	33	33	33	1.00000	1.00000	Non-essential
BW25113_1145	cohE	-	3	672	351	351	363	0.00000	0.00000	Essential
BW25113_1146	croE	-	14	198	63	63	63	0.23608	1.00000	Non-essential
BW25113_1147	ymfL	-	73	555	46	46	46	1.00000	1.00000	Non-essential
BW25113_1148	ymfM	-	62	336	25	28	33	1.00000	1.00000	Non-essential
BW25113_1150	ymfR	-	30	180	21	21	21	1.00000	1.00000	Non-essential
BW25113_1153	ymfQ	-	88	582	35	35	35	1.00000	1.00000	Non-essential
BW25113_1154	stfP	-	198	627	28	28	28	1.00000	1.00000	Non-essential
BW25113_1155	tfaP	-	159	411	20	20	20	1.00000	1.00000	Non-essential
BW25113_1156	tfaE	-	241	600	21	21	21	1.00000	1.00000	Non-essential
BW25113_1158	pinE	inversion of adjacent DNA%3B at locus of e14 element	167	552	21	21	21	1.00000	1.00000	Non-essential
BW25113_1159	mcrA	restriction of DNA at 5-methylcytosine residues%3B at locus of e14 element	144	831	48	48	48	0.99995	1.00000	Non-essential
BW25113_1160	iraM	-	17	321	52	52	52	0.97696	1.00000	Non-essential
BW25113_1161	ycgX	-	60	402	54	57	100	0.00004	0.00043	Essential
BW25113_1162	bluR	putative transcriptional regulator	195	729	24	24	24	1.00000	1.00000	Non-essential
BW25113_1163	bluF	-	369	1209	29	29	29	1.00000	1.00000	Non-essential
BW25113_1164	ycgZ	-	45	234	18	18	18	1.00000	1.00000	Non-essential
BW25113_1165	ymgA	-	32	270	37	40	53	0.94850	1.00000	Non-essential
BW25113_1166	ariR	-	13	264	65	65	65	0.15351	1.00000	Non-essential
BW25113_1167	ymgC	-	50	246	40	40	40	1.00000	1.00000	Non-essential
BW25113_1168	ycgG	putative proteases	515	1521	76	76	76	0.01183	0.10390	Non-essential
BW25113_1171	ymgD	-	59	327	23	23	23	1.00000	1.00000	Non-essential
BW25113_1172	ymgG	-	127	342	22	22	22	1.00000	1.00000	Non-essential
BW25113_1174	minE	cell division topological specificity factor%2C reverses MinC inhibition of ftsZ ring formation	16	264	127	127	127	0.00000	0.00000	Essential
BW25113_1175	minD	cell division inhibitor%2C a membrane ATPase%2C activates minC	148	810	38	38	38	1.00000	1.00000	Non-essential
BW25113_1176	minC	cell division inhibitor%2C inhibits ftsZ ring formation	129	693	36	36	36	1.00000	1.00000	Non-essential
BW25113_1177	ycgJ	-	109	366	40	40	40	1.00000	1.00000	Non-essential
BW25113_1178	pliG	-	136	399	32	32	32	1.00000	1.00000	Non-essential
BW25113_1179	ycgL	-	39	291	32	32	32	1.00000	1.00000	Non-essential
BW25113_1180	ycgM	putative isomerase	119	657	50	50	50	0.99774	1.00000	Non-essential
BW25113_1181	ycgN	-	163	459	14	14	14	1.00000	1.00000	Non-essential
BW25113_1182	hlyE	-	148	909	63	63	63	0.23608	1.00000	Non-essential
BW25113_1183	umuD	SOS mutagenesis%3B error-prone repair%3B processed to UmuD'%3B forms complex with UmuC	86	417	47	47	47	1.00000	1.00000	Non-essential
BW25113_1184	umuC	SOS mutagenesis and repair	185	1266	60	60	60	0.42484	1.00000	Non-essential
BW25113_1185	dsbB	reoxidizes DsbA protein following formation of disulfide bond in P-ring of flagella.	65	528	34	34	34	1.00000	1.00000	Non-essential
BW25113_1186	nhaB	Na+/H+ antiporter%2C pH independent	238	1539	44	44	44	1.00000	1.00000	Non-essential
BW25113_1187	fadR	negative regulator for fad regulon%2C and positive activator of fabA	119	717	50	50	50	0.99774	1.00000	Non-essential
BW25113_1188	ycgB	-	245	1530	93	93	93	0.00020	0.00218	Essential
BW25113_1189	dadA	D-amino acid dehydrogenase subunit	164	1296	36	36	36	1.00000	1.00000	Non-essential
BW25113_1190	dadX	alanine racemase 2%2C catabolic	146	1068	58	58	58	0.59088	1.00000	Non-essential
BW25113_1191	cvrA	-	355	1734	43	43	43	1.00000	1.00000	Non-essential
BW25113_1192	ldcA	-	160	912	30	30	30	1.00000	1.00000	Non-essential
BW25113_1193	emtA	murein transglycosylase E	92	609	53	53	56	0.76405	1.00000	Non-essential
BW25113_1194	ycgR	-	126	732	33	33	33	1.00000	1.00000	Non-essential
BW25113_1195	ymgE	transglycosylase asociated protein	83	252	16	16	17	1.00000	1.00000	Non-essential
BW25113_1196	ycgY	-	93	438	32	32	32	1.00000	1.00000	Non-essential
BW25113_1197	treA	trehalase%2C periplasmic	313	1695	51	51	51	0.99171	1.00000	Non-essential
BW25113_1198	dhaM	PTS hybrid protein	246	1416	52	52	52	0.97696	1.00000	Non-essential
BW25113_1199	dhaL	-	76	630	48	48	48	0.99995	1.00000	Non-essential
BW25113_1200	dhaK	-	168	1068	45	45	45	1.00000	1.00000	Non-essential
BW25113_1201	dhaR	-	299	1917	58	58	58	0.59088	1.00000	Non-essential
BW25113_1202	ycgV	putative adhesion and penetration protein	613	2865	67	67	67	0.09800	0.71838	Non-essential
BW25113_1203	ychF	putative GTP-binding protein	101	1089	82	82	82	0.00282	0.02780	Essential
BW25113_1204	pth	-	13	582	339	339	339	0.00000	0.00000	Essential
BW25113_1205	ychH	-	56	276	17	17	17	1.00000	1.00000	Non-essential
BW25113_1206	dauA	putative sulfate transporter	281	1677	41	41	41	1.00000	1.00000	Non-essential
BW25113_1207	prs	phosphoribosylpyrophosphate synthetase	8	945	308	308	308	0.00000	0.00000	Essential
BW25113_1208	ispE	-	9	849	317	317	317	0.00000	0.00000	Essential
BW25113_1209	lolB	outer-membrane lipoprotein	7	621	141	141	141	0.00000	0.00000	Essential
BW25113_1210	hemA	glutamyl-tRNA reductase	10	1254	479	479	479	0.00000	0.00000	Essential
BW25113_1211	prfA	-	14	1080	304	304	304	0.00000	0.00000	Essential
BW25113_1212	prmC	possible protoporphyrinogen oxidase	6	831	302	302	302	0.00000	0.00000	Essential
BW25113_1213	ychQ	-	60	390	25	25	25	1.00000	1.00000	Non-essential
BW25113_1214	ychA	-	120	807	27	27	27	1.00000	1.00000	Non-essential
BW25113_1215	kdsA	2-dehydro-3-deoxyphosphooctulonate aldolase	11	852	371	371	371	0.00000	0.00000	Essential
BW25113_1216	chaA	sodium-calcium/proton antiporter	285	1098	41	41	41	1.00000	1.00000	Non-essential
BW25113_1217	chaB	-	57	228	23	26	38	1.00000	1.00000	Non-essential
BW25113_1218	chaC	-	88	693	57	57	57	0.67893	1.00000	Non-essential
BW25113_1219	ychN	-	39	351	36	36	36	1.00000	1.00000	Non-essential
BW25113_1220	ychO	conserved protein%2C invasin-like	195	1392	54	54	54	0.90304	1.00000	Non-essential
BW25113_1221	narL	pleiotrophic regulation of anaerobic respiration: response regulator for nar%2C frd%2C dms and tor genes	100	648	37	37	37	1.00000	1.00000	Non-essential
BW25113_1222	narX	nitrate/nitrate sensor%2C histidine protein kinase acts on NarL regulator	278	1794	70	70	70	0.04897	0.39025	Non-essential
BW25113_1223	narK	nitrite extrusion protein	207	1389	35	35	35	1.00000	1.00000	Non-essential
BW25113_1224	narG	-	445	3741	55	55	55	0.84050	1.00000	Non-essential
BW25113_1225	narH	nitrate reductase 1%2C beta subunit	145	1536	70	70	70	0.04897	0.39025	Non-essential
BW25113_1226	narJ	nitrate reductase 1%2C delta subunit%2C assembly function	64	708	61	61	61	0.35282	1.00000	Non-essential
BW25113_1227	narI	nitrate reductase 1%2C cytochrome b(NR)%2C gamma subunit	72	675	47	47	47	1.00000	1.00000	Non-essential
BW25113_1229	tpr	a protamine-like protein	5	87	35	35	35	1.00000	1.00000	Non-essential
BW25113_1230	tyrV	-	5	82	28	28	28	1.00000	1.00000	Non-essential
BW25113_1231	tyrT	-	8	82	23	23	23	1.00000	1.00000	Non-essential
BW25113_1232	purU	formyltetrahydrofolate deformylase%3B for purT-dependent FGAR synthesis	104	840	49	49	49	0.99957	1.00000	Non-essential
BW25113_1233	ychJ	-	93	456	32	32	32	1.00000	1.00000	Non-essential
BW25113_1234	rssA	-	114	903	65	65	65	0.15351	1.00000	Non-essential
BW25113_1235	rssB	Hnr protein	200	1011	29	29	29	1.00000	1.00000	Non-essential
BW25113_1236	galU	-	138	906	39	39	39	1.00000	1.00000	Non-essential
BW25113_1237	hns	DNA-binding protein HLP-II (HU%2C BH2%2C HD%2C NS)%3B pleiotropic regulator	40	411	50	50	50	0.99774	1.00000	Non-essential
BW25113_1238	tdk	thymidine kinase	222	615	34	34	34	1.00000	1.00000	Non-essential
BW25113_1241	adhE	CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase%3B pyruvate-formate-lyase deactivase	390	2673	51	51	51	0.99171	1.00000	Non-essential
BW25113_1242	ychE	putative channel protein	150	645	53	53	53	0.94850	1.00000	Non-essential
BW25113_1243	oppA	oligopeptide transport%3B periplasmic binding protein%3B periplasmic-binding component of ABC superfamily	170	1629	50	50	50	0.99774	1.00000	Non-essential
BW25113_1244	oppB	oligopeptide transport permease protein%3B membrane component of ABC superfamily	145	918	35	35	35	1.00000	1.00000	Non-essential
BW25113_1245	oppC	homolog of Salmonella oligopeptide transport permease protein%3B membrane component of ABC superfamily	107	906	47	47	47	1.00000	1.00000	Non-essential
BW25113_1246	oppD	homolog of Salmonella ATP-binding protein of oligopeptide ABC transport system	82	1011	82	82	82	0.00282	0.02780	Essential
