Orf ID	Feature Type(1:gene 2:rRNA 3:tRNA 4:ncRNA 7:tmRNA 8:sRNA)	Orf	Alternative name	MapPosition	Start(BP)	End(BP)	Length(BP)	Direction(0:+ 1:-)	Class(1:essential 2:noessential 3:unknown)	PID	Product	PMID
1118	1	ymfE	b1138,ECK1124,f234a,JW5166	25.79400062561035	1196756	1197460	705	1	2	1787384	e14 prophage; predicted inner membrane protein	
1119	1	lit	b1139,ECK1125,JW1125	25.819000244140625	1197918	1198811	894	0	2	1787385	e14 prophage; cell death peptidase, inhibitor of T4 late gene expression	9729611
1120	1	intE	b1140,ECK1126,f375,int,JW1126,ycfI	25.840200424194336	1198902	1200029	1128	1	2	1787386	e14 prophage; predicted integrase	
1122	1	xisE	b1141,ECK1127,f81,JW1127,Vxis,ymfG	25.864099502563477	1200010	1200255	246	1	2	1787387	e14 prophage; predicted excisionase	
1123	1	ymfI	b1143,ECK1129,JW5168,o128	25.8794002532959	1200720	1201061	342	0	2	87081839	e14 prophage; putative protein	
1124	1	ymfJ	b1144,ECK1130,f94,f94c	25.885400772094727	1200999	1201307	309	1	2	87081840	e14 prophage; putative protein	
1125	1	cohE	b1145,ECK1131,f224,JW1131,o167,ymfK	25.89579963684082	1201482	1202156	675	1	2	1787391	e14 prophage; repressor protein phage e14	
10063	1	croE	b1146,ECK4469,JW5169,ymfT	25.91230010986328	1202247	1202447	201	0	2	87081841	e14 prophage; predicted DNA-binding transcriptional regulator	
1127	1	ymfL	b1147,ECK1133,JW1133,o189,o189b	25.917600631713867	1202491	1203048	558	0	2	145693113	e14 prophage; predicted DNA-binding transcriptional regulator	
1128	1	ymfM	b1148,ECK1134,JW1134,o112,o112c	25.929500579833984	1203045	1203383	339	0	2	1787394	e14 prophage; putative protein	
10254	1	oweE	b1149,b4692,ECK4507	25.937000274658203	1203393	1203626	234	0	2			
10227	1	aaaE	b1149,b4693,ECK1135,JW1135,ykgR,ymfN	25.942100524902344	1203627	1204760	1134	0	2			
1131	1	ymfR	b1150,ECK1136,JW1136,o60,o60b	25.966699600219727	1204772	1204954	183	0	2	1787396	e14 prophage; putative protein	
1130	1	beeE	b1151,ECK1137,JW1137,o157,o157b,ymfO	25.970699310302734	1204954	1205365	412	0	2			
1132	1	jayE	b1152,ECK1138,JW5170,o263,ymfP	25.97949981689453	1205366	1206145	780	0	2			
1133	1	ymfQ	b1153,ECK1139,JW1139,o194,ycfE	25.9960994720459	1206136	1206720	585	0	2	1787399	prohage e14 tail protein homolog	
1134	1	stfP	b1154,ECK1140,JW1140,ycfK	26.008800506591797	1206724	1207353	630	0	2	1787400	e14 prophage; putative protein	
1135	1	tfaP	b1155,ECK1141,JW5171,o137,ymfS	26.02239990234375	1207355	1207768	414	0	2	1787401	e14 prophage; putative protein	
1136	1	tfaE	b1156,ECK1142,JW1142,ycfA	26.03070068359375	1207740	1208342	603	1	2	1787402	e14 prophage; predicted tail fiber assembly protein	
1137	1	stfE	b1157,ECK1143,f179,JW5172,ycfE	26.043699264526367	1208342	1208842	501	1	2			
1138	1	pinE	b1158,ECK1144,JW1144,pin	26.05590057373047	1208908	1209462	555	0	2	1787404	e14 prophage; site-specific DNA recombinase	
1139	1	mcrA	b1159,ECK1145,JW1145,rglA	26.070100784301758	1209569	1210402	834	0	2	1787406	e14 prophage; 5-methylcytosine-specific restriction endonuclease B	9729611
10064	1	icdC	b4519,ECK1146,icd,JW5173	26.09309959411621	1210636	1210800	165	0	2			
1140	1	iraM	b1160,ECK1147,elb1,elbA,f107,f107a,JW1147,ycgW	26.098899841308594	1210903	1211226	324	1	2	1787407	RpoS stabilzer during Mg starvation, anti-RssB factor	
1141	1	ycgX	b1161,ECK1148,f134,f134b,JW1148	26.120899200439453	1211926	1212330	405	1	2	1787408	hypothetical protein	
1142	1	bluR	b1162,ECK1149,f243,JW1149,ycgE	26.1343994140625	1212551	1213282	732	1	2	1787409	repressor of blue light-responsive genes	
1143	1	bluF	b1163,ECK1150,f403,JW1150,ycgF	26.154600143432617	1213487	1214698	1212	1	2	1787410	anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP	
1144	1	ycgZ	b1164,ECK1151,JW1151,o78	26.187400817871094	1215012	1215248	237	0	2	1787411	RcsB connector protein for regulation of biofilm and acid-resistance	
1146	1	ymgA	b1165,ECK1152,JW1152,o90,o90b	26.193500518798828	1215291	1215563	273	0	2	1787412	RcsB connector protein for regulation of biofilm	
1145	1	ariR	b1166,ECK1153,JW1153,o88,ymgB	26.199899673461914	1215592	1215858	267	0	2	1787413	RcsB connector protein for regulation of biofilm and acid-resistance	
1147	1	ymgC	b1167,ECK1154,JW1154,o82	26.208099365234375	1215971	1216219	249	0	2	1787414	hypothetical protein	
1148	1	ycgG	b1168,ECK1155,JW5174,o521	26.220600128173828	1216551	1218074	1524	0	2	87081845	putative membrane-anchored cyclic-di-GMP phosphodiesterase	
10065	1	ymgF	b4520,ECK1156,JW1156	26.25629997253418	1218206	1218424	219	0	2	87081846	inner membrane division septum protein	
1149	1	ycgH	b1169,b1170,b4491,ECK1157,JW5176,JW5901,o338,o338b,o506,o506b,ycgH_2	26.26959991455078	1218824	1221471	2648	0	2			
1151	1	ymgD	b1171,ECK1158,f111,f111b,JW5177	26.327899932861328	1221528	1221857	330	1	2	87081849	hypothetical protein	
1152	1	ymgG	b1172,ECK4470,f94,f94b	26.3351993560791	1221867	1222211	345	1	2	288549313	conserved protein, UPF0757 family	
10066	1	ymgI	b4593,ECK4403	26.342599868774414	1222213	1222386	174	1	2	145693115	hypothetical protein	
10067	1	ymgJ	b4594,ECK4404	26.348499298095703	1222487	1222672	186	0	2	145693116	hypothetical protein	
1153	1	ycgI	b1173,b4521,ECK1161,JW1162,o70,o70a,ymgH	26.354999542236328	1222787	1223130	344	0	2			
1154	1	minE	b1174,ECK1162,JW1163,minB	26.370399475097656	1223502	1223768	267	1	2	1787422	cell division topological specificity factor	2645057
1155	1	minD	b1175,ECK1163,JW1164,minB	26.37619972229004	1223772	1224584	813	1	2	1787423	membrane ATPase of the MinC-MinD-MinE system	2645057
1156	1	minC	b1176,ECK1164,JW1165,minB	26.39430046081543	1224608	1225303	696	1	2	1787424	cell division inhibitor	2645057
1157	1	ycgJ	b1177,ECK1165,JW1166,o122,o122a	26.420499801635742	1225823	1226191	369	0	2	1787425	hypothetical protein	
1158	1	pliG	b1178,ECK1166,f133,JW1167,ycgK	26.430599212646484	1226294	1226695	402	1	2	1787426	hypothetical protein	
1159	1	ycgL	b1179,ECK1167,JW1168,o108,o108b	26.444499969482422	1226937	1227230	294	0	2	308199518	hypothetical protein	
1160	1	ycgM	b1180,ECK1168,JW1169,o219,o219b	26.452299118041992	1227302	1227961	660	0	2	1787428	putative isomerase/hydrolase	
1161	1	ycgN	b1181,ECK1169,hpr,JW5180,o158	26.46820068359375	1228038	1228499	462	0	2	145693117	UPF0153 family cysteine cluster protein, function unknown	
1162	1	hlyE	b1182,clyA,ECK1170,f305,f305b,hpr,JW5181,sheA,ycgD	26.48259925842285	1228706	1229617	912	1	2	87081853	hemolysin E	
1163	1	umuD	b1183,ECK1171,JW1172,uvm	26.510299682617188	1229990	1230409	420	0	2	1787431	DNA polymerase V, subunit D	
1164	1	umuC	b1184,ECK1172,JW1173,uvm	26.51930046081543	1230409	1231677	1269	0	2	1787432	DNA polymerase V, subunit C	
1165	1	dsbB	b1185,dsbX,ECK1173,iarB,JW5182,roxB,ycgA	26.54759979248047	1231723	1232253	531	1	2	1787433	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I	8503954
1166	1	nhaB	b1186,ECK1174,JW1175	26.56220054626465	1232399	1233940	1542	1	2	1787435	sodium:proton antiporter	7823039
1167	1	fadR	b1187,dec,ECK1175,JW1176,ole,oleR,thdB	26.600200653076172	1234161	1234880	720	0	2	1787436	DNA-binding transcriptional dual regulator of fatty acid metabolism	7618860
1168	1	ycgB	b1188,ECK1176,JW1177	26.61680030822754	1234932	1236464	1533	1	2	1787437	hypothetical protein	
1169	1	dadA	alnR,b1189,dadR,ECK1177,JW1178	26.65690040588379	1236794	1238092	1299	0	2	1787438	D-amino acid dehydrogenase	
1170	1	dadX	alnB,b1190,dadB,ECK1178,JW1179,msuA?	26.685100555419922	1238102	1239172	1071	0	2	1787439	alanine racemase 2, PLP-binding	3920477
1171	1	cvrA	b1191,ECK1179,f536,JW5184,ycgO	26.71649932861328	1239558	1241294	1737	1	2	87081854	putative cation/proton antiporter	
1172	1	ldcA	b1192,ECK1180,f304,f304b,JW1181,ycgQ	26.75589942932129	1241389	1242303	915	1	2	1787441	murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A	
1173	1	emtA	b1193,ECK1181,JW5821,mltE,o241,sltZ,ycgP	26.777799606323242	1242403	1243014	612	0	2	87081855	lytic murein endotransglycosylase E	
1174	1	ycgR	b1194,ECK1182,f244,f244c,JW1183	26.791000366210938	1243016	1243750	735	1	2	1787443	flagellar velocity braking protein, c-di-GMP-regulated	
1175	1	ymgE	b1195,ECK1183,JW1184,o84,tag	26.811199188232422	1243951	1244205	255	0	2	1787445	putative inner membrane protein	
1176	1	ycgY	b1196,ECK1184,JW1185,o146	26.820499420166016	1244383	1244823	441	0	2	1787446	hypothetical protein	
1177	1	treA	b1197,ECK1185,JW1186,osmA	26.83169937133789	1244902	1246599	1698	1	2	1787447	periplasmic trehalase	
1178	1	dhaM	b1198,dhaH,ECK1186,JW5185,ptsD,ycgC	26.875099182128906	1246919	1248337	1419	1	2	226510935	fused predicted dihydroxyacetone-specific PTSenzymes: HPr component/EI component	
1179	1	dhaL	b1199,dhaK2,ECK1187,f210,f210b,JW5186,ptsD,ycgS	26.905899047851562	1248348	1248980	633	1	2	1787449	dihydroxyacetone kinase, C-terminal domain	
1180	1	dhaK	b1200,dhaK1,ECK1188,f366,f366b,JW5187,ptsD,ycgT	26.9197998046875	1248991	1250061	1071	1	2	87081857	dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit	
1181	1	dhaR	b1201,ECK1189,JW5188,o642,ptsD,ycgU	26.947799682617188	1250289	1252208	1920	0	2	87081858	DNA-binding transcription activator of the dhaKLM operon	
1182	1	ycgV	b1202,ECK1190,f955,JW1193	26.991300582885742	1252308	1255175	2868	1	2	1787452	putative adhesin	
1183	1	ychF	b1203,ECK1191,engD,gtp1,JW1194	27.069700241088867	1255944	1257035	1092	1	2	1787454	catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated	
1184	1	pth	asuA?,b1204,ECK1192,JW1195,rap	27.095699310302734	1257152	1257736	585	1	1	1787455	peptidyl-tRNA hydrolase	10692356
1185	1	ychH	b1205,ECK1193,JW1196	27.114299774169922	1258014	1258292	279	0	2	1787456	putative inner membrane protein	
1186	1	dauA	b1206,ECK1194,JW5189,ychM	27.121400833129883	1258347	1260026	1680	1	2	87081859	C4-dicarboxylic acid transporter	
1187	1	prs	b1207,dnaR,ECK1195,JW1198,prsA	27.16029930114746	1260151	1261098	948	1	1	1787458	phosphoribosylpyrophosphate synthase	1325564
1188	1	ispE	b1208,ECK1196,ipk,JW1199,ychB	27.18400001525879	1261249	1262100	852	1	1	1787459	4-diphosphocytidyl-2-C-methylerythritol kinase	
1189	1	lolB	b1209,ECK1197,hemM,JW1200,ychC	27.202299118041992	1262100	1262723	624	1	1	1787460	lipoprotein localization factor	9384574
1190	1	hemA	b1210,ECK1198,gtrA,JW1201	27.220399856567383	1262937	1264193	1257	0	1	1787461	glutamyl tRNA reductase	8979375
1191	1	prfA	b1211,ECK1199,JW1202,sueB,uar,ups,ups?	27.24839973449707	1264235	1265317	1083	0	1	1787462	peptide chain release factor RF-1	7932718
1192	1	prmC	b1212,ECK1200,hemK,JW1203,o277	27.271699905395508	1265317	1266150	834	0	1	1787463	N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2	7883187
1193	1	ychQ	b1213,ECK1201,JW1204,o130,sirB2	27.289600372314453	1266147	1266539	393	0	2	1787464	putative inner membrane protein, SIRB family	
1194	1	ychA	b1214,ECK1202,JW1205,sirB1	27.298099517822266	1266543	1267352	810	0	2	1787465	hypothetical protein	
1195	1	kdsA	b1215,ECK1203,JW1206	27.316299438476562	1267388	1268242	855	0	1	1787466	3-deoxy-D-manno-octulosonate 8-phosphate synthase	7775423
10068	1	ldrA	b4419,ECK1204,JW5957	27.337900161743164	1268391	1268498	108	1	2	48994880	toxic polypeptide, small	
10069	4	rdlA	b4420,ECK1205,JWR0229	27.341299057006836	1268546	1268612	67	0	2		sRNA antisense regulator affects LdrA translation; proposed addiction module in LDR-A repeat, with toxic peptide LdrA	
10070	1	ldrB	b4421,ECK1206,JW5958	27.34950065612793	1268926	1269033	108	1	2	48994881	toxic polypeptide, small	
10071	4	rdlB	b4422,ECK1207,JWR0230	27.352800369262695	1269081	1269146	66	0	2		sRNA antisense regulator affects LdrB translation; proposed addiction module in LDR-B repeat, with toxic peptide LdrB	
10072	1	ldrC	b4423,ECK1208,JW5959	27.361000061035156	1269461	1269568	108	1	2	48994882	toxic polypeptide, small	
10073	4	rdlC	b4424,ECK1209,JWR0231	27.364299774169922	1269616	1269683	68	0	2		sRNA antisense regulator affects LdrC translation; proposed addiction module in LDR-C repeat, with toxic peptide LdrC	
1196	1	chaA	b1216,ECK1210,JW1207	27.371999740600586	1269972	1271072	1101	1	2	1787468	calcium/sodium:proton antiporter	
1197	1	chaB	b1217,ECK1211,JW1208	27.401500701904297	1271342	1271572	231	0	2	1787469	cation transport regulator	
1198	1	chaC	b1218,ECK1212,JW1209	27.409900665283203	1271730	1272425	696	0	2	145693119	cation transport regulator	
1199	1	ychN	b1219,ECK1213,JW1210	27.425800323486328	1272469	1272822	354	1	2	1787471	hypothetical protein	
1200	1	ychO	b1220,ECK1214,JW1211,ychP	27.437400817871094	1273007	1274401	1395	0	2	145693120	putative invasin	
1201	1	narL	b1221,ECK1215,frdR,JW1212,narR	27.467500686645508	1274402	1275052	651	1	2	1787473	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	8736541
497	1	narX	b0501,b1222,ECK1216,frdR,JW1213,narR,o63,o63a	27.481300354003906	1275045	1276841	1797	1	2	1787474	sensory histidine kinase in two-component regulatory system with NarL	2144276
1203	1	narK	b1223,ECK1217,JW1214	27.52739906311035	1277180	1278571	1392	0	2	1787475	nitrate/nitrite transporter	
1204	1	narG	b1224,chlC,ECK1218,JW1215,narC	27.568500518798828	1279087	1282830	3744	0	2	1787477	nitrate reductase 1, alpha subunit	8736541
1205	1	narH	b1225,chlC,ECK1219,JW1216	27.649099349975586	1282827	1284365	1539	0	2	1787478	nitrate reductase 1, beta (Fe-S) subunit	8736541
1206	1	narJ	b1226,ECK1220,JW1217	27.682199478149414	1284362	1285072	711	0	2	1787479	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	8736541
1207	1	narI	b1227,chlI,ECK1221,JW1218	27.697500228881836	1285072	1285749	678	0	2	1787480	nitrate reductase 1, gamma (cytochrome b(NR)) subunit	8736541
10074	4	rttR	b1229,b4425,ECK1223,JWR0232,rtT,rtV1,tpr	27.72369956970215	1286289	1286459	171	1	2		rtT sRNA, processed from tyrT transcript	
10075	1	tpr	b1229,ECK1224,JW1219	27.72410011291504	1286310	1286399	90	1	2	145693121	protamine-like protein	
24	3	tyrV	b1230,ECK1225,JWR0028,tyrTbeta	27.727500915527344	1286467	1286551	85	1	2		tRNA-Tyr	9729611
25	3	tyrT	b1231,ECK1226,JWR0029,su,Su-3,Su-4,suIII,supC,supFsupO,tyrTalpha	27.73390007019043	1286761	1286845	85	1	2		tRNA-Tyr	9729611
1210	1	purU	b1232,ECK1227,JW1220,tgs,ychI	27.739099502563477	1287005	1287847	843	1	2	1787483	formyltetrahydrofolate hydrolase	
1211	1	ychJ	b1233,ECK1228,JW1221	27.75830078125	1287897	1288355	459	1	2	1787484	conserved protein, UPF0225 family	
1212	1	rssA	b1234,ECK1229,JW1222,ychK	27.770700454711914	1288468	1289373	906	0	2	226510936	putative phospholipase, patatin-like family	
1213	1	rssB	b1235,ECK1230,hnr,JW1223,mviA,sprE,verA,ychL	27.79210090637207	1289465	1290478	1014	0	2	1787487	response regulator binding RpoS to initiate proteolysis by ClpXP; required for the PcnB-degradosome interaction during stationary phase	
1214	1	galU	b1236,ECK1231,JW1224,verA,ychD	27.818300247192383	1290680	1291588	909	0	2	1787488	glucose-1-phosphate uridylyltransferase	2506428
1215	1	hns	B1,b1237,bglY,cur,drc,drdX,drs,ECK1232,fimG,H1,hnsA,irk,JW1225,msyA,osmZ,pilG,topS,topX,verA,virR	27.840999603271484	1291732	1292145	414	1	2	1787489	global DNA-binding transcriptional dual regulator H-NS	2506428
1216	1	tdk	b1238,ECK1233,JW1226	27.862899780273438	1292750	1293367	618	0	2	1787490	thymidine kinase/deoxyuridine kinase	
1217	1	insZ	b1239,b1240,b4573,ECK1234,f76,JW1227,JW5883,ychG,ychG_1,ychG_2,ychR	27.882299423217773	1293649	1294545	897	1	2			
1219	1	adhE	adhC,ana,b1241,ECK1235,JW1228	27.904300689697266	1294669	1297344	2676	1	2	1787493	fused acetaldehyde-CoAdehydrogenase/iron-dependent alcoholdehydrogenase/pyruvate-formate lyase deactivase	8692838
1220	1	ychE	b1242,ECK1236,JW1229	27.972200393676758	1297821	1298468	648	0	2	1787494	putative inner membrane protein	
1221	1	oppA	b1243,ECK1237,JW1235	28.002099990844727	1299206	1300837	1632	0	2	1787495	oligopeptide transporter subunit	
1222	1	oppB	b1244,ECK1238,JW1236,stkB	28.039100646972656	1300923	1301843	921	0	2	1787497	oligopeptide transporter subunit	
1223	1	oppC	b1245,ECK1239,JW1237,stkB	28.059200286865234	1301858	1302766	909	0	2	1787498	oligopeptide transporter subunit	
1224	1	oppD	b1246,ECK1240,JW1238	28.079099655151367	1302778	1303791	1014	0	2	48994883	oligopeptide transporter subunit	
1225	1	oppF	b1247,ECK1241,JW1239	28.100799560546875	1303788	1304792	1005	0	2	1787500	oligopeptide transporter subunit	
1226	1	yciU	b1248,ECK1242,f135,JW1240	28.123600006103516	1304845	1305174	330	1	2	87081860	conserved protein, UPF0263 family	
1227	1	clsA	b1249,cls,ECK1243,JW1241,nov,yciJ	28.131500244140625	1305209	1306669	1461	1	2	1787502	cardiolipin synthase 1	
10076	1	yciY	b4595,ECK4405	28.166000366210938	1306812	1306985	174	0	2	145693122	hypothetical protein	
1228	1	kch	b1250,ECK1244,JW1242	28.170900344848633	1307040	1308293	1254	1	2	1787503	voltage-gated potassium channel	
1229	1	yciI	b1251,ECK1245,JW1243	28.20439910888672	1308593	1308889	297	1	2	87081861	putative enzyme	
1230	1	tonB	b1252,ECK1246,exbA,JW5195,T1rec	28.215599060058594	1309113	1309832	720	0	2	1787505	membrane spanning protein in TonB-ExbB-ExbD transport complex	
1231	1	yciA	b1253,ECK1247,JW1245	28.23200035095215	1309872	1310270	399	1	2	1787506	acyl-CoA esterase	
1232	1	yciB	b1254,ECK1248,ispA,JW1246	28.242799758911133	1310375	1310914	540	1	2	1787507	putative inner membrane protein	
1233	1	yciC	b1255,ECK1249,JW1247	28.25510025024414	1310944	1311687	744	1	2	1787508	inner membrane protein, UPF0259 family	
1234	1	ompW	b1256,ECK1250,JW1248,yciD	28.278799057006836	1312044	1312682	639	0	2	1787510	outer membrane protein W	
1235	1	yciE	b1257,ECK1251,JW1249	28.293800354003906	1312742	1313248	507	1	2	1787511	putative rubrerythrin/ferritin-like metal-binding protein	
1236	1	yciF	b1258,ECK1252,JW1250	28.305700302124023	1313294	1313794	501	1	2	1787512	putative rubrerythrin/ferritin-like metal-binding protein	
1237	1	yciG	b1259,ECK1253,JW1251	28.31839942932129	1313880	1314059	180	1	2	87081862	hypothetical protein	
1238	1	trpA	b1260,ECK1254,JW1252,try,tryp	28.330400466918945	1314440	1315246	807	1	2	1787514	tryptophan synthase, alpha subunit	
1239	1	trpB	b1261,ECK1255,JW1253	28.34779930114746	1315246	1316439	1194	1	2	1787515	tryptophan synthase, beta subunit	
1240	1	trpC	b1262,ECK1256,JW1254,trpF	28.37380027770996	1316451	1317809	1359	1	2	87081863	fused indole-3-glycerolphosphatesynthetase/N-(5-phosphoribosyl)anthranilate isomerase	9605328
1241	1	trpD	b1263,ECK1257,JW1255,trpGD	28.403099060058594	1317813	1319408	1596	1	2	1787517	fused glutamine amidotransferase (component II)of anthranilate synthase/anthranilate phosphoribosyl transferase	
1242	1	trpE	anth,b1264,ECK1258,JW1256,tryD,tryp-4	28.4375	1319408	1320970	1563	1	2	1787518	component I of anthranilate synthase	
1244	1	trpL	b1265,ECK1259,JW1257,trpEE	28.47319984436035	1321062	1321106	45	1	2	1787519	trp operon leader peptide	
1243	1	yciV	b1266,ECK1260,JW1258,o293,o293a,trpH,yciV	28.477100372314453	1321244	1322125	882	0	2	1787520	hypothetical protein	
1245	1	yciO	b1267,ECK1261,JW5196	28.496000289916992	1322122	1322742	621	0	2	87081864	putative RNA binding protein	
1246	1	yciQ	b1268,ECK1262,JW5197,yciP	28.510000228881836	1322770	1324665	1896	0	2	1787522	putative inner membrane protein	
1247	1	rluB	b1269,ECK1263,JW1261,yciL	28.555400848388672	1324876	1325751	876	0	2	1787524	23S rRNA pseudouridine(2605) synthase	
1248	1	btuR	b1270,cobA,ECK1264,JW1262	28.57509994506836	1325791	1326381	591	1	2	1787525	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	
1249	1	yciK	b1271,ECK1265,JW1263	28.58769989013672	1326378	1327136	759	1	2	1787526	putative oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system	
1250	1	sohB	b1272,ECK1266,JW1264	28.608800888061523	1327356	1328405	1050	0	2	1787527	putative inner membrane peptidase; multicopy suppressor of htrA(degP)	
1251	1	yciN	b1273,ECK1267,JW1265	28.632200241088867	1328441	1328692	252	1	2	1787528	DUF2498 protein YciN	
1252	1	topA	asuA?,b1274,ECK1268,JW1266,supX	28.64579963684082	1329072	1331669	2598	0	1	1787529	DNA topoisomerase I, omega subunit	2827163
1253	1	cysB	b1275,ECK1269,JW1267	28.706300735473633	1331879	1332853	975	0	2	1787530	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding	
10077	1	ymiA	b4522,ECK4433	28.734399795532227	1333184	1333312	129	0	2	87081865	hypothetical protein	
10078	1	yciX	b4523,ECK1270,JW5198,JW5199	28.737199783325195	1333315	1333482	168	0	2	145693123	hypothetical protein	
1254	1	acnA	acn,b1276,ECK1271,JW1268	28.748899459838867	1333855	1336530	2676	0	2	1787531	aconitate hydratase 1	8932712
1255	1	ribA	b1277,ECK1272,JW1269	28.807899475097656	1336594	1337184	591	1	1	1787533	GTP cyclohydrolase II	
1256	1	pgpB	b1278,ECK1273,JW1270	28.82430076599121	1337354	1338118	765	0	2	1787534	phosphatidylglycerophosphatase B	9729611
1257	1	yciS	b1279,ECK1274,JW1271,o102,o102a	28.8439998626709	1338267	1338575	309	0	2	1787535	DUF1049 family inner membrane protein, function unknown	
1258	1	yciM	b1280,ECK1275,JW1272,o389	28.850799560546875	1338582	1339751	1170	0	2	2367116	TPR-repeats-containing protein	
1259	1	pyrF	b1281,ECK1276,JW1273	28.88010025024414	1339945	1340682	738	0	2	1787537	orotidine-5'-phosphate decarboxylase	
1260	1	yciH	b1282,ECK1277,JW1274	28.895999908447266	1340682	1341008	327	0	2	87081867	initiation factor function partial mimic, SUI1 family	
1261	1	osmB	b1283,ECK1278,JW1275	28.905799865722656	1341134	1341352	219	1	2	1787539	lipoprotein	2644204
1262	1	yciT	b1284,deoT,ECK1279,f249,JW1276	28.91629981994629	1341621	1342370	750	1	2	1787540	global regulator of transcription; DeoR family	
10079	1	yciZ	b4596,deoL,ECK4406	28.93440055847168	1342460	1342633	174	1	2	145693124	hypothetical protein	
1263	1	gmr	b1285,ECK1280,f661,JW1278,yciR	28.941299438476562	1342781	1344766	1986	1	2	1787541	cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability	
10228	1	ymiB	aaaE,b4672,ECK4487	28.985200881958008	1344820	1344924	105	0	2	226510937	hypothetical protein	
1264	1	rnb	b1286,ECK1281,JW1279	28.989099502563477	1345002	1346936	1935	1	2	1787542	ribonuclease II	7758932
1265	1	yciW	b1287,ECK1282,f401,JW5200	29.03230094909668	1347004	1348131	1128	1	2	87081868	putative oxidoreductase	
1266	1	fabI	b1288,ECK1283,envM,gts,JW1281,qmeA	29.05970001220703	1348275	1349063	789	1	1	1787545	enoyl-[acyl-carrier-protein] reductase, NADH-dependent	7592873
1267	1	ycjD	b1289,ECK1284,JW1282	29.0846004486084	1349431	1349784	354	1	2	1787546	hypothetical protein	
1268	1	sapF	b1290,ECK1285,JW1283	29.093700408935547	1349852	1350658	807	1	2	1787547	antimicrobial peptide transport ABC system ATP-binding protein	
1269	1	sapD	b1291,ECK1286,f330,JW1284,trkE	29.111099243164062	1350660	1351652	993	1	2	1787548	antimicrobial peptide transport ABC system ATP-binding protein	
1270	1	sapC	b1292,ECK1287,f296,JW1285	29.13249969482422	1351652	1352542	891	1	2	1787549	antimicrobial peptide transport ABC transporter permease	
1271	1	sapB	b1293,ECK1288,f321,JW1286	29.151399612426758	1352529	1353494	966	1	2	1787550	antimicrobial peptide transport ABC transporter permease	
1272	1	sapA	b1294,ECK1289,f547,JW1287	29.172100067138672	1353491	1355134	1644	1	2	1787551	antimicrobial peptide transport ABC transporter periplasmic binding protein	
1273	1	ymjA	b1295,ECK1290,f81,JW1288	29.21430015563965	1355447	1355692	246	1	2	1787552	hypothetical protein	
1274	1	puuP	b1296,ECK1291,f479,JW1289,ycjJ	29.222400665283203	1355826	1357211	1386	1	2	87081869	putrescine importer	
1275	1	puuA	b1297,ECK1292,f498,JW5201,ycjK	29.258800506591797	1357514	1358932	1419	1	2	87081870	gamma-Glu-putrescine synthase	
1276	1	puuD	b1298,ECK1293,JW1291,o258,ycjL	29.293899536132812	1359144	1359908	765	0	2	87081871	gamma-Glu-GABA hydrolase	
1277	1	puuR	b1299,ECK1294,JW1292,o185,ycjC	29.31100082397461	1359935	1360492	558	0	2	1787557	DNA-binding transcriptional repressor for the puu divergon	
1278	1	puuC	aldH,b1300,ECK1295,JW1293	29.328899383544922	1360767	1362254	1488	0	2	1787558	gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent	
1279	1	puuB	b1301,ECK1296,JW1294,o426,ordL,ycjA	29.361000061035156	1362256	1363536	1281	0	2	1787559	gamma-Glu-putrescine oxidase,FAD/NAD(P)-binding	
1280	1	puuE	b1302,ECK1297,goaG,JW1295	29.389400482177734	1363574	1364839	1266	0	2	1787560	GABA aminotransferase, PLP-dependent	
1281	1	pspF	b1303,ECK1298,f330,JW1296,ycjB	29.419300079345703	1364959	1365936	978	1	2	87081872	DNA-binding transcriptional activator	
1282	1	pspA	b1304,cog,ECK1299,JW1297	29.443899154663086	1366103	1366771	669	0	2	2367118	regulatory protein for phage-shock-protein operon	9721282
1283	1	pspB	b1305,ECK1300,JW1298	29.45949935913086	1366825	1367049	225	0	2	1787563	DNA-binding transcriptional regulator of psp operon	9721282
1284	1	pspC	b1306,ECK1301,JW1299	29.46430015563965	1367049	1367408	360	0	2	1787564	DNA-binding transcriptional activator	9721282
1285	1	pspD	b1307,ECK1302,JW1300	29.472299575805664	1367417	1367638	222	0	2	1787565	peripheral inner membrane phage-shock protein	9721282
1286	1	pspE	b1308,ECK1303,JW1301	29.478599548339844	1367713	1368027	315	0	2	1787567	thiosulfate:cyanide sulfurtransferase (rhodanese)	9721282
